"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Western Swamp Turtle","Pseudemydura umbrina","CHORDATA","REPTILIA","TESTUDINES","CHELIDAE",97271321,1996-08-01,"CR","2.3","A1c; B1+2c; C1+2b; D","A2c;B1ab(iii);C1+2a(ii);D","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,8,10,3200,1,400,NA
"2","Stirling Range Dyandra","Banksia montana","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113307356,2018-10-25,"CR","3.1","A2ace+3ce+4ce; B1ab(iii,v); C1+2a(i); D","A2ace+3ce+4ce; B1ab(iii,v); C1+2a(i); D","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"29","35-50",NA,4,5,10,10,2000,2,200,NA
"3","Foote's Grevillea","Grevillea calliantha","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113307766,2018-10-23,"CR","3.1","A2ce+4ce; B1ab(iii,iv,v)+2ab(iii,iv,v); C2a(i); D","A2ce+4ce; B1ab(iii,iv,v)+2ab(iii,iv,v); C2a(i); D","Extant","Native",2,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","8","85","47","1",4,5,10,10,2000,2,200,NA
"4",NA,"Banksia vincentia","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",117474507,2019-02-06,"CR","3.1","A4ce; B1ab(iii,iv,v)+2ab(iii,iv,v); C1+2a(i,ii); D","A4ce; B1ab(iii,iv,v)+2ab(iii,iv,v); C1+2a(i,ii); D","Extant","Native",2,"Decreasing","Yes","Yes","No","No","No","Yes","Yes","4","4","15-20","1",4,5,10,10,2000,2,200,NA
"5","West Gippsland Galaxias","Galaxias longifundus","CHORDATA","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE",123382126,2019-02-14,"CR","3.1","A2bc+3bce; B1ab(i,ii,iii,iv,v); C1+2a(i,ii); D","A2bc+3bce; B1ab(i,ii,iii,iv,v); C1+2a(i,ii); D","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","Yes","12-16","16","25-75","1",4,5,10,10,2000,2,200,NA
"6","Swift Parrot","Lathamus discolor","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",130886700,2018-08-07,"CR","3.1","A3ce","A3ce","Extant","Native",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No",NA,"21500","1000-2499","11-100",4,10,10,5,2000,2,400,NA
"7","Orange-bellied Parrot","Neophema chrysogaster","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",130894893,2018-08-15,"CR","3.1","A2ace; C2a(i,ii); D","A2ace; C2a(i,ii); D","Extant","Native",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","30","12800","20-25","1",4,10,5,10,2000,2,400,NA
"8",NA,"Banksia prionophylla","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113307431,2018-10-23,"CR","3.1","A3ce+4ce; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(ii)","A3ce+4ce; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(ii)","Extant","Native",2,"Unknown","Yes","Yes","No","Unknown","Yes",NA,"Yes","4-10","22","100","1",4,5,10,9,1800,8,200,NA
"9",NA,"Grevillea fuscolutea","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113308031,2018-10-24,"CR","3.1","A3e; B2ab(iii,v)","A3e; B2ab(iii,v)","Extant","Native",2,"Stable","Yes","Yes","No","Unknown","Unknown",NA,"Yes","9-10","453",NA,"1",4,5,10,9,1800,8,200,NA
"10","Albany Cone Bush","Isopogon uncinatus","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113308781,2018-10-25,"CR","3.1","A3ce","A3ce","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","30","1167","90-100",NA,4,5,10,9,1800,8,200,NA
"11","Fairall's Lambertia","Lambertia fairallii","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",121862595,2018-10-25,"CR","3.1","A3ce","A3ce","Extant","Native",2,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown",NA,"Yes","4","40","250-5000","3",4,5,10,9,1800,8,200,NA
"12","Small-flowered Snottygobble","Persoonia micranthera","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",121862730,2018-10-23,"CR","3.1","A2c+4bc; B1ab(iii)","A2c+4bc; B1ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,NA,NA,"21","300","1-5",4,5,10,9,1800,8,200,NA
