"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Belem Curassow","Crax pinima","CHORDATA","AVES","GALLIFORMES","CRACIDAE",161578179,2023-09-20,"CR","3.1","A3cd+4cd; C2a(i); D","A3cd+4cd; C2a(i); D",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","Yes",NA,"44000","10-49","3-5",4,10,10,10,4000,1,400,NA
"2",NA,"Cynolebias elegans","CHORDATA","ACTINOPTERYGII","CYPRINODONTIFORMES","RIVULIDAE",173830275,2020-12-29,"CR","3.1","A2ac; B1ab(iii)+2ab(iii); D","A2ac; B1ab(iii)+2ab(iii); D",1,"Unknown","Unknown","Yes","No","Unknown","Unknown","No","Yes","4","4","0-49","1",4,10,10,10,4000,1,400,NA
"3",NA,"Discocactus cangaensis","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",1750513,2010-06-04,"CR","3.1","A2ac; B1ab(iii,v)","A2ac; B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"99","500-1000","1",4,10,10,9,3600,3,400,NA
"4",NA,"Discocactus petr-halfari","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",16331946,2010-08-10,"CR","3.1","A3c; B1ab(iii,v)+2ab(iii,v)","A3c; B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"9","9",NA,"1",4,10,10,9,3600,3,400,NA
"5",NA,"Diospyros serrana","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","EBENACEAE",169276485,2019-09-13,"CR","3.1","A2c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A2c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,NA,"4","4",NA,"1",4,10,10,9,3600,3,400,NA
"6",NA,"Hypsolebias splendissimus","CHORDATA","ACTINOPTERYGII","CYPRINODONTIFORMES","RIVULIDAE",173832397,2021-01-05,"CR","3.1","A2c; B1ab(iii)+2ab(iii)","A2c; B1ab(iii)+2ab(iii)",1,"Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown","Yes","4","4",NA,"1",4,10,10,9,3600,3,400,NA
"7",NA,"Erythroxylum leal-costae","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","ERYTHROXYLACEAE",176127743,2020-03-25,"CR","3.1","A2c; B1ab(i,ii,iii,iv,v)","A2c; B1ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"20","71",NA,"1",4,10,10,9,3600,3,400,NA
"8",NA,"Banara trinitatis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE",193190934,2020-08-18,"CR","3.1","A2ce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A2ce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"4","4",NA,"1",4,10,10,9,3600,3,400,NA
"9",NA,"Estevesia alex-bragae","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",1855605,2010-08-10,"CR","3.1","A3c","A3c",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"200","1",4,10,10,8,3200,9,400,NA
"10",NA,"Isabelcristinia aromatica","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LINDERNIACEAE",186921979,2020-11-18,"CR","3.1","A3ce","A3ce",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","20","189","2500","5",4,10,10,7,2800,10,400,NA
"11",NA,"Coleocephalocereus purpureus","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",2943088,2010-08-10,"CR","3.1","A3c","A3c",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"200",NA,"1",4,10,10,6,2400,11,400,NA
"12",NA,"Millepora nitida","CNIDARIA","HYDROZOA","ANTHOATHECATA","MILLEPORIDAE",179618448,2022-02-17,"CR","3.1","A3c","A3c",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"404",NA,NA,"1",4,10,10,6,2400,11,400,NA
"13",NA,"Millepora braziliensis","CNIDARIA","HYDROZOA","ANTHOATHECATA","MILLEPORIDAE",179621403,2022-02-17,"CR","3.1","A3c","A3c",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"231",NA,NA,"1",4,10,10,6,2400,11,400,NA
"14","Hoge’s Toadhead Turtle","Ranacephala hogei","CHORDATA","REPTILIA","TESTUDINES","CHELIDAE",217759966,2016-02-25,"CR","3.1","A2bcd+4bcd","A2bcd+4bcd",1,"Decreasing","Yes","Yes",NA,"Yes",NA,"Yes",NA,NA,"35718","500-1000","8",4,10,10,6,2400,11,400,NA
"15",NA,"Crenicichla cyclostoma","CHORDATA","ACTINOPTERYGII","CICHLIFORMES","CICHLIDAE",134704607,2018-11-07,"CR","3.1","A4c","A4c",1,"Unknown",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"2",4,10,10,5,2000,15,400,NA
"16","Northern Muriqui","Brachyteles hypoxanthus","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE",191693399,2019-03-18,"CR","3.1","A2cd","A2cd",1,"Decreasing","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"1000",NA,4,10,10,5,2000,15,400,NA
"17","Buffy-headed Marmoset","Callithrix flaviceps","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE",191700879,2019-07-15,"CR","3.1","A2ace","A2ace",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","Unknown",NA,NA,"30815","2000-2499",NA,4,10,10,5,2000,15,400,NA
"18","Yellow-breasted Capuchin","Sapajus xanthosternos","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE",192592138,2020-03-02,"CR","3.1","A4cde","A4cde",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes",NA,NA,"470000","2499",NA,4,10,10,5,2000,15,400,NA
