"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Afrothismia pachyantha","TRACHEOPHYTA","LILIOPSIDA","DIOSCOREALES","AFROTHISMIACEAE",10246294,2004-04-30,"CR","3.1","A2c; B1ab(iii)+2ab(iii); C2a(i,ii); D","A2c; B1ab(iii)+2ab(iii); C2a(i,ii); D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"2",NA,"Oxyanthus okuensis","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",10293983,2000-06-30,"CR","2.3","A1c, B1+2b, C2a, D","A2c;B1ab(ii);C2a(i);D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"3",NA,"Potadoma riperti","MOLLUSCA","GASTROPODA","SORBEOCONCHA","PACHYCHILIDAE",151145661,2019-08-06,"CR","3.1","A3c; B1ab(iii,v)+2ab(iii,v); D","A3c; B1ab(iii,v)+2ab(iii,v); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","0-40","1",4,10,10,10,4000,1,400,NA
"4","Lake Oku Puddle Frog","Phrynobatrachus njiomock","CHORDATA","AMPHIBIA","ANURA","PHRYNOBATRACHIDAE",76317920,2016-11-18,"CR","3.1","A2ae; B1ab(iii)","A2ae; B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"14.10",NA,"1",4,10,10,9,3600,4,400,NA
"5",NA,"Aphanocalyx hedinii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",9550533,1998-01-01,"CR","2.3","B1+2abcd, C1+2ab","B1ab(i,ii,iii,iv);C1+2a(i,ii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,8,9,2880,5,360,NA
"6",NA,"Cola metallica","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",110087288,2018-06-06,"CR","3.1","A4c","A4c",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","24","3935",NA,"4",4,10,10,7,2800,6,400,NA
"7",NA,"Kupea martinetugei","TRACHEOPHYTA","LILIOPSIDA","PANDANALES","TRIURIDACEAE",11051964,2004-04-30,"CR","3.1","C1","C1",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,8,8,2560,7,320,NA
"8","Bamboutos Smalltongue Toad","Werneria bambutensis","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",16925585,2016-11-21,"CR","3.1","A2ae","A2ae",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"4122.76",NA,"2",4,10,10,5,2000,8,400,NA
"9","Tandy's Smalltongue Toad","Werneria tandyi","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",96237674,2016-07-05,"CR","3.1","A2ae","A2ae",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"809.57",NA,NA,4,10,10,3,1200,9,400,NA
"10","Perret's Water Frog","Petropedetes perreti","CHORDATA","AMPHIBIA","ANURA","PETROPEDETIDAE",254216225,2016-07-07,"CR","3.1","A3e","A3e",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"1449",NA,"2-4",4,10,10,3,1200,9,400,NA
