"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Wenshan Paphiopedilum","Paphiopedilum wenshanense","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",2723777,2014-03-18,"CR","3.1","A2acd+3cd+4acd; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1+2a(i,ii); D","A2acd+3cd+4acd; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,"Yes","8","8","50","1",4,10,10,10,4000,1,400,NA
"2",NA,"Cystoathyrium chinense","TRACHEOPHYTA","POLYPODIOPSIDA","POLYPODIALES","CYSTOPTERIDACEAE",11069200,2004-04-30,"CR","3.1","A2c; C2a(i); D","A2c; C2a(i); D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"3",NA,"Paphiopedilum guangdongense","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327854,2014-11-26,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","30-50","1",4,10,10,10,4000,1,400,NA
"4","China Alligator","Alligator sinensis","CHORDATA","REPTILIA","CROCODYLIA","ALLIGATORIDAE",3146005,2017-07-31,"CR","3.1","A1b; B1ab(ii,v)+2ab(ii,v); C1+2a(i)","A1b; B1ab(ii,v)+2ab(ii,v); C1+2a(i)",1,"Stable","Yes","No","Unknown",NA,"Yes",NA,"Yes","5","43","68-86","1",4,10,10,9,3600,4,400,NA
"5",NA,"Margarya yangtsunghaiensis","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","VIVIPARIDAE",6467233,2008-03-28,"CR","3.1","A2a; B1ab(i,ii,iii,iv,v)","A2a; B1ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,"Yes","32","32",NA,"1",4,10,10,9,3600,4,400,NA
"6",NA,"Cyprinus qionghaiensis","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","CYPRINIDAE",6656020,2007-03-01,"CR","3.1","A2bcde; B1ab(iii,v)+2ab(iii,v)","A2bcde; B1ab(iii,v)+2ab(iii,v)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"1",4,10,10,9,3600,4,400,NA
"7",NA,"Cycas hongheensis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",68902633,2022-07-06,"CR","3.1","A2cd+4cd; B2ab(iii,v)","A2cd+4cd; B2ab(iii,v)",1,"Decreasing","Yes","Yes","No",NA,NA,NA,"Yes","8","461","1100","1",4,10,10,9,3600,4,400,NA
"8","Sichuan Taimen","Hucho bleekeri","CHORDATA","ACTINOPTERYGII","SALMONIFORMES","SALMONIDAE",174797529,2012-06-19,"CR","3.1","A2cd","A2cd",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","No",NA,NA,"99","2000-2500","2-5",4,10,10,9,3600,4,400,NA
"9",NA,"Sinocyclocheilus hyalinus","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","CYPRINIDAE",252573431,2024-01-16,"CR","3.1","A2bc","A2bc",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","12-16","12-16",NA,"3-4",4,10,10,9,3600,4,400,NA
"10",NA,"Holopogon gaudissartii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",11071639,2004-04-30,"CR","3.1","A2c; C2b","A2c; C2b",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,8,3200,10,400,NA
