"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Zamia restrepoi","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",69844329,2020-06-19,"CR","3.1","A2ac+4ac; B1ab(iii,v)+2ab(iii,v); C2a(ii)","A2ac+4ac; B1ab(iii,v)+2ab(iii,v); C2a(ii)",1,"Decreasing","Yes","Yes","Unknown",NA,NA,NA,"Yes","8","8","51-100","1",4,10,10,9,3600,1,400,NA
"2","Santa Marta Wren","Troglodytes monticola","CHORDATA","AVES","PASSERIFORMES","TROGLODYTIDAE",130790240,2018-08-07,"CR","3.1","A3c+4c; C2a(i,ii)","A3c+4c; C2a(i,ii)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","No",NA,"1800","50-249","1",4,10,10,8,3200,2,400,NA
"3",NA,"Acostaea rivolii","MOLLUSCA","BIVALVIA","UNIONIDA","ETHERIIDAE",65493204,2014-10-09,"CR","3.1","A2c","A2c",1,"Decreasing","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","44",NA,NA,"1",4,10,10,7,2800,3,400,NA
"4",NA,"Phragmipedium andreettae","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",114200170,2015-07-22,"CR","3.1","A3cd+4cd; B1ab(ii,iv,v)+2ab(ii,iv,v); C1+2a(i,ii); D","A3cd+4cd; B1ab(ii,iv,v)+2ab(ii,iv,v); C1+2a(i,ii); D",2,"Decreasing","Yes","Yes",NA,"Unknown","Unknown","Yes","Yes","8","8","50","1",4,5,10,10,2000,4,200,NA
"5","Blue-knobbed Curassow","Crax alberti","CHORDATA","AVES","GALLIFORMES","CRACIDAE",127590617,2016-10-01,"CR","3.1","A3bcd","A3bcd",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","No",NA,"71100","1000-2499","2-5",4,10,10,5,2000,4,400,NA
"6","Cotton-top Tamarin","Oedipomidas oedipus","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE",192551067,2020-02-25,"CR","3.1","A3cd","A3cd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000",NA,4,10,10,5,2000,4,400,NA
"7","Fischer's Phragmipedium ","Phragmipedium fischeri","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43328089,2015-07-21,"CR","3.1","A3cd+4cd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1","A3cd+4cd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1",2,"Decreasing","Yes","Yes",NA,"Unknown","Yes",NA,"Yes","4","4","10-100","1",4,5,10,9,1800,7,200,NA
"8","Orinoco Crocodile","Crocodylus intermedius","CHORDATA","REPTILIA","CROCODYLIA","CROCODYLIDAE",181089024,2017-10-19,"CR","3.1","A2bcd; C2a(i)","A2bcd; C2a(i)",2,"Decreasing","Yes","Yes","No","Unknown","Unknown","No","No","1927","615914","90-254,190","34",4,5,10,8,1600,8,200,NA
"9",NA,"Magnolia coronata","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","MAGNOLIACEAE",14050469,2015-09-16,"CR","3.1","A2acd","A2acd",1,"Decreasing","Yes","Yes",NA,NA,NA,"Yes","Unknown","20-500","1345",NA,NA,4,10,10,3,1200,9,400,NA
"10","Pirre Harlequin Frog","Atelopus glyphus","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",49535891,2018-05-23,"CR","3.1","A2ace+4ace","A2ace+4ace",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"381",NA,"1",4,5,10,6,1200,9,200,NA
