"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Zamia restrepoi","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",69844329,2020-06-19,"CR","3.1","A2ac+4ac; B1ab(iii,v)+2ab(iii,v); C2a(ii)","A2ac+4ac; B1ab(iii,v)+2ab(iii,v); C2a(ii)","Extant","Native",1,"Decreasing","Yes","Yes","Unknown",NA,NA,NA,"Yes","8","8","51-100","1",4,10,10,9,3600,1,400,NA
"2","Santa Marta Wren","Troglodytes monticola","CHORDATA","AVES","PASSERIFORMES","TROGLODYTIDAE",130790240,2018-08-07,"CR","3.1","A3c+4c; C2a(i,ii)","A3c+4c; C2a(i,ii)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","No",NA,"1800","50-249","1",4,10,10,8,3200,2,400,NA
"3",NA,"Phragmipedium andreettae","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",114200170,2015-07-22,"CR","3.1","A3cd+4cd; B1ab(ii,iv,v)+2ab(ii,iv,v); C1+2a(i,ii); D","A3cd+4cd; B1ab(ii,iv,v)+2ab(ii,iv,v); C1+2a(i,ii); D","Extant","Native",2,"Decreasing","Yes","Yes",NA,"Unknown","Unknown","Yes","Yes","8","8","50","1",4,5,10,10,2000,3,200,NA
"4","Cotton-headed Tamarin","Oedipomidas oedipus","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE",192551067,2020-02-25,"CR","3.1","A3cd","A3cd","Extant","Native",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000",NA,4,10,10,5,2000,3,400,NA
"5","Fischer's Phragmipedium ","Phragmipedium fischeri","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43328089,2015-07-21,"CR","3.1","A3cd+4cd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1","A3cd+4cd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1","Extant","Native",2,"Decreasing","Yes","Yes",NA,"Unknown","Yes",NA,"Yes","4","4","10-100","1",4,5,10,9,1800,5,200,NA
"6",NA,"Acostaea rivolii","MOLLUSCA","BIVALVIA","UNIONIDA","ETHERIIDAE",65493204,2014-10-09,"CR","3.1","A2c","A2c","Extant","Native",1,"Decreasing","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","44",NA,NA,"1",4,10,5,6,1200,6,240,NA
"7","Lehmann's Poison Frog","Oophaga lehmanni","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE",85891808,2019-02-07,"CR","3.1","A4d","A4d","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"148.43",NA,NA,4,10,10,3,1200,6,400,NA
"8",NA,"Polylepis quadrijuga","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","ROSACEAE",231528752,2023-04-24,"CR","3.1","A3c","A3c","Extant","Native",1,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,NA,"88","16393",NA,"13",4,10,10,3,1200,6,400,NA
"9","Hojarasco de Espinal","Magnolia espinalii","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","MAGNOLIACEAE",2884454,2015-01-27,"CR","3.1","C2a(i); D","C2a(i); D","Extant","Native",1,"Decreasing","Yes",NA,NA,NA,NA,"Yes",NA,NA,"9639","50",NA,4,10,2,10,800,9,400,NA
"10","Almenegra de Ventanas ","Magnolia polyhypsophylla","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","MAGNOLIACEAE",2884722,2007-04-02,"CR","3.1","B1ab(iii,v); C2a(i,ii); D","B1ab(iii,v); C2a(i,ii); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,"No","Yes",NA,"0-100","12","1",4,10,2,10,800,9,400,NA
"11","Hojarasco de Santa Rosa","Magnolia wolfii","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","MAGNOLIACEAE",2884829,2007-04-02,"CR","3.1","B1ab(iii)+2ab(iii); D","B1ab(iii)+2ab(iii); D","Extant","Native",1,"Decreasing","Unknown","Yes",NA,NA,NA,NA,"Yes","0.2","0.2","3","1",4,10,2,10,800,9,400,NA
"12","Manzur's Phragmipedium ","Phragmipedium manzurii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43328134,2015-09-13,"CR","3.1","B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(i,ii); D","B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(i,ii); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Unknown","Yes",NA,"Yes","8","8","30-50","1",4,10,2,10,800,9,400,NA
"13","La Planada Poison Frog","Paruwrobates andinus","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE",49338865,2016-08-05,"CR","3.1","D","D","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes",NA,NA,"0-49",NA,4,10,2,10,800,9,400,NA
"14",NA,"Ectopoglossus atopoglossus","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE",49341223,2016-08-15,"CR","3.1","B1ab(iii,v); C2a(i,ii); D","B1ab(iii,v); C2a(i,ii); D","Possibly Extinct","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"15.81","0-49","1",4,10,2,10,800,9,400,NA
