"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Scalesia atractyloides","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE",10145994,2000-01-01,"CR","2.3","A1ace, B1+2bcde, C2a, D","A2ace;B1ab(ii,iii,iv,v);C2a(i);D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"2",NA,"Connarus ecuadorensis","TRACHEOPHYTA","MAGNOLIOPSIDA","OXALIDALES","CONNARACEAE",10981637,2004-04-30,"CR","3.1","A4c; B1ab(iii); D","A4c; B1ab(iii); D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"3","Longnose Harlequin Frog","Atelopus longirostris","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",98641996,2020-09-28,"CR","3.1","A3c; B1ab(iii,v)+2ab(iii,v); C2a(i,ii); D","A3c; B1ab(iii,v)+2ab(iii,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","10.59","1-49","1",4,10,10,10,4000,1,400,NA
"4","Rio Negro Rocket Frog","Hyloxalus marmoreoventris","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE",98645861,2020-10-09,"CR","3.1","A4c; D","A4c; D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"0-49",NA,4,10,10,10,4000,1,400,NA
"5",NA,"Axinaea flava","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",204909768,2021-07-20,"CR","3.1","A2a; B1ab(iii,v)+2ab(iii,v); C1+2a(i,ii); D","A2a; B1ab(iii,v)+2ab(iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"8","2.23-8","10","1",4,10,10,10,4000,1,400,NA
"6",NA,"Dicliptera dodsonii","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",10751641,2003-04-30,"CR","3.1","A2c; B1ab(iii)","A2c; B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,6,400,NA
"7",NA,"Sanchezia lampra","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",10752497,2003-04-30,"CR","3.1","A4c; B1ab(iii)","A4c; B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,6,400,NA
"8",NA,"Annona hystricoides","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",10755603,2003-04-30,"CR","3.1","A4c; B1ab(iii)","A4c; B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,6,400,NA
"9",NA,"Philodendron balaoanum","TRACHEOPHYTA","LILIOPSIDA","ALISMATALES","ARACEAE",10764820,2003-04-30,"CR","3.1","A4c; B1ab(iii)","A4c; B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,6,400,NA
"10",NA,"Philodendron cruentospathum","TRACHEOPHYTA","LILIOPSIDA","ALISMATALES","ARACEAE",10765038,2003-04-30,"CR","3.1","A4c; B1ab(iii)","A4c; B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,6,400,NA
