"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Fairrie's Paphiopedilum","Paphiopedilum fairrieanum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327829,2014-10-20,"CR","3.1","A2acd+3cd+4acd; B2ab(i,ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B2ab(i,ii,iii,v); C1+2a(i); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"8","628","49","2",4,10,10,10,4000,1,400,NA
"2","Drury’s Paphiopedilum","Paphiopedilum druryi","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",15054919,2014-10-17,"CR","3.1","A2abcd+3bcd+4abcd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1","A2abcd+3bcd+4abcd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","200","1",4,10,10,9,3600,2,400,NA
"3",NA,"Zingiber arunachalensis","TRACHEOPHYTA","LILIOPSIDA","ZINGIBERALES","ZINGIBERACEAE",131723450,2018-08-03,"CR","3.1","A3c; B1ab(i,ii,iii)+2ab(i,ii,iii)","A3c; B1ab(i,ii,iii)+2ab(i,ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,"Yes","4","4",NA,"1",4,10,10,9,3600,2,400,NA
"4","Northern River Terrapin","Batagur baska","CHORDATA","REPTILIA","TESTUDINES","GEOEMYDIDAE",2788691,2018-03-14,"CR","3.1","A2acd+4cd; C1+2a(i)","A2acd+4cd; C1+2a(i)","Extant","Native",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,4,10,10,8,3200,4,400,NA
"5","Great Indian Bustard","Ardeotis nigriceps","CHORDATA","AVES","OTIDIFORMES","OTIDIDAE",134188105,2018-08-17,"CR","3.1","A2a+4acd; C1","A2a+4acd; C1","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","No",NA,"12500000","50-249","11-100",4,10,10,8,3200,4,400,NA
"6","Baer's Pochard","Aythya baeri","CHORDATA","AVES","ANSERIFORMES","ANATIDAE",154436811,2019-08-15,"CR","3.1","A2cd+3cd+4cd; C2a(ii)","A2cd+3cd+4cd; C2a(ii)","Extant","Native",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No",NA,"2270000","150-700","11-100",4,10,10,8,3200,4,400,NA
"7","White-winged Duck","Asarcornis scutulata","CHORDATA","AVES","ANSERIFORMES","ANATIDAE",244637841,2024-07-18,"CR","3.1","A2bcde+3bcde+4bcde; C1+2a(i)","A2bcde+3bcde+4bcde; C1+2a(i)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Unknown",NA,"2620000","150-450","10-30",4,10,10,8,3200,4,400,NA
"8",NA,"Elaphoglossum nilgiricum","TRACHEOPHYTA","POLYPODIOPSIDA","POLYPODIALES","DRYOPTERIDACEAE",255278318,2024-06-03,"CR","3.1","C1+2a(i); D","C1+2a(i); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","No","60","25839","37-45","5",4,10,8,10,3200,4,400,NA
"9","Spoon-billed Sandpiper","Calidris pygmaea","CHORDATA","AVES","CHARADRIIFORMES","SCOLOPACIDAE",154738156,2021-06-23,"CR","3.1","A2abcd; C1+2a(ii)","A2abcd; C1+2a(ii)","Extant","Native",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"355000","240-620,490",NA,4,10,8,8,2560,9,320,NA
"10","Nilgiri Tree Fern","Alsophila nilgirensis","TRACHEOPHYTA","POLYPODIOPSIDA","CYATHEALES","CYATHEACEAE",255278328,2024-07-07,"CR","3.1","C1+2a(i)","C1+2a(i)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","No",NA,"No","64","147770","108-196","12",4,10,8,8,2560,9,320,NA
"11","Bengal Florican","Houbaropsis bengalensis","CHORDATA","AVES","OTIDIFORMES","OTIDIDAE",130184896,2018-08-07,"CR","3.1","A3bcd+4abcd","A3bcd+4abcd","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","No",NA,"1550000","250-999",NA,4,10,10,6,2400,11,400,NA
"12","Red-crowned Roofed Turtle","Batagur kachuga","CHORDATA","REPTILIA","TESTUDINES","GEOEMYDIDAE",152043133,2018-03-13,"CR","3.1","A2cd+4cd","A2cd+4cd","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,NA,NA,"500",NA,4,10,10,6,2400,11,400,NA
"13","Lesser Florican","Sypheotides indicus","CHORDATA","AVES","OTIDIFORMES","OTIDIDAE",199959007,2021-08-12,"CR","3.1","A2bcd+3bcd+4bcd","A2bcd+3bcd+4bcd","Extant","Native",1,"Decreasing","Yes","Yes","Yes","No","Yes","Unknown","No",NA,"520000","356-1228, 730",NA,4,10,10,6,2400,11,400,NA
