"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Northern Sportive Lemur","Lepilemur septentrionalis","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE",115567059,2018-05-07,"CR","3.1","A2acd+3cd+4acd; C2a(i,ii); D","A2acd+3cd+4acd; C2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"12-192","258","40","1",4,10,10,10,4000,1,400,NA
"2","Radiated Tortoise","Astrochelys radiata","CHORDATA","REPTILIA","TESTUDINES","TESTUDINIDAE",12950491,2008-01-15,"CR","3.1","A4d; E","A4d; E",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"5,000-20,000","500-2,000",NA,NA,4,10,10,9,3600,2,400,NA
"3","Angonoka","Astrochelys yniphora","CHORDATA","REPTILIA","TESTUDINES","TESTUDINIDAE",12950950,2008-01-15,"CR","3.1","A4ad; B2ab(v); C1; E","A4ad; B2ab(v); C1; E",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"12-60","700",NA,"5",4,10,10,9,3600,2,400,NA
"4",NA,"Rheocles derhami","CHORDATA","ACTINOPTERYGII","ATHERINIFORMES","BEDOTIIDAE",58309105,2016-06-21,"CR","3.1","A2ac; B1ab(iii,v)","A2ac; B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"50",NA,"1",4,10,10,9,3600,2,400,NA
"5",NA,"Aloe leandrii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ASPHODELACEAE",102280533,2016-10-13,"CR","3.1","A2a; B1ab(iii)+2ab(iii)","A2a; B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,"Unknown","Unknown",NA,NA,"4","4",NA,"1",4,10,10,9,3600,2,400,NA
"6","Hawks' Sportive Lemur","Lepilemur tymerlachsoni","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE",115585199,2018-05-07,"CR","3.1","A2ac+3c+4c; B1ab(i,iii,v)","A2ac+3c+4c; B1ab(i,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"72",NA,"1",4,10,10,9,3600,2,400,NA
"7",NA,"Prockiopsis razakamalalae","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","ACHARIACEAE",137904128,2020-02-12,"CR","3.1","A3c; B2ab(iii)","A3c; B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,10,9,3600,2,400,NA
"8","Spider Tortoise","Pyxis arachnoides","CHORDATA","REPTILIA","TESTUDINES","TESTUDINIDAE",177075588,2008-01-17,"CR","3.1","A4cd; E","A4cd; E",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"upto500","upto20,000",NA,NA,4,10,10,9,3600,2,400,NA
"9","Sainte Luce Giant Pill-Millipede","Sphaeromimus saintelucei","ARTHROPODA","DIPLOPODA","SPHAEROTHERIIDA","ARTHROSPHAERIDAE",177161960,2014-09-04,"CR","3.1","A3c; B1ab(i,ii,iii)+2ab(i,ii,iii)","A3c; B1ab(i,ii,iii)+2ab(i,ii,iii)",1,"Decreasing","Unknown","Yes","No","Yes","Yes",NA,"Yes","4","4",NA,"1",4,10,10,9,3600,2,400,NA
"10","Shiny Giant Pill-Millipede","Sphaeromimus splendidus","ARTHROPODA","DIPLOPODA","SPHAEROTHERIIDA","ARTHROSPHAERIDAE",177162384,2014-09-04,"CR","3.1","A3c; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","A3c; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes","No","Yes","Yes",NA,"Yes","5-8","10",NA,"1",4,10,10,9,3600,2,400,NA
"11","Alluauds Giant Pill-Millipede","Zoosphaerium alluaudi","ARTHROPODA","DIPLOPODA","SPHAEROTHERIIDA","ARTHROSPHAERIDAE",177348529,2014-09-03,"CR","3.1","A2c+3c; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","A2c+3c; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes","8","10",NA,"2",4,10,10,9,3600,2,400,NA
"12","Perrier’s Sifaka","Propithecus perrieri","CHORDATA","MAMMALIA","PRIMATES","INDRIIDAE",115573556,2018-05-07,"CR","3.1","A2a; C2a(ii)","A2a; C2a(ii)",1,"Decreasing","Yes","Yes",NA,"Yes",NA,"No",NA,NA,"283","125","3",4,10,10,8,3200,12,400,NA
"13","Grewcock's Sportive Lemur","Lepilemur grewcockorum","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE",115585939,2018-05-07,"CR","3.1","A2cd+3cd+4cd","A2cd+3cd+4cd",1,"Decreasing","Yes","Yes",NA,"Yes",NA,"Yes",NA,NA,"143",NA,"1",4,10,10,6,2400,13,400,NA
"14","Alaotran Gentle Lemur","Hapalemur alaotrensis","CHORDATA","MAMMALIA","PRIMATES","LEMURIDAE",182236363,2018-05-07,"CR","3.1","A2acd","A2acd",1,"Decreasing",NA,"Yes",NA,"Yes",NA,NA,NA,NA,"519",NA,"1",4,10,10,6,2400,13,400,NA
"15","Malagasy Giant Rat","Hypogeomys antimena","CHORDATA","MAMMALIA","RODENTIA","NESOMYIDAE",216087357,2022-04-10,"CR","3.1","A2bc","A2bc",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"470","5036","1",4,10,10,6,2400,13,400,NA
"16","John Cleese's Avahi","Avahi cleesei","CHORDATA","MAMMALIA","PRIMATES","INDRIIDAE",115582253,2018-05-07,"CR","3.1","A2c+3c+4c","A2c+3c+4c",1,"Decreasing",NA,"Yes",NA,"Yes",NA,NA,NA,NA,"490",NA,"2",4,10,10,5,2000,16,400,NA
"17","Mananara-Nord Sportive Lemur","Lepilemur hollandorum","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE",115587841,2018-05-07,"CR","3.1","A2cd+3cd+4cd","A2cd+3cd+4cd",1,"Decreasing","Yes","Yes",NA,"Yes",NA,"Yes",NA,NA,"393",NA,"2",4,10,10,5,2000,16,400,NA
"18","Tattersalli's Sifaka","Propithecus tattersalli","CHORDATA","MAMMALIA","PRIMATES","INDRIIDAE",115571806,2019-12-16,"CR","3.1","A2acd+4acd","A2acd+4acd",1,"Decreasing","Yes","Yes",NA,"Yes",NA,"No",NA,NA,"1919","4000-5000","3",4,10,10,4,1600,18,400,NA
