"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Sander's Paphiopedilum","Paphiopedilum sanderianum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327974,2014-11-19,"CR","3.1","A2acd; B1ab(ii,v)+2ab(ii,v); C1+2a(i,ii); D","A2acd; B1ab(ii,v)+2ab(ii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","0-50","1",4,10,10,10,4000,1,400,NA
"2",NA,"Vatica flavida","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",123359825,2018-08-01,"CR","3.1","A2bc; B1ab(iii); D","A2bc; B1ab(iii); D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","16","16","0-30","1-2",4,10,10,10,4000,1,400,NA
"3",NA,"Diospyros brainii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","EBENACEAE",1387970,2020-08-13,"CR","3.1","A2c","A2c",1,"Decreasing","Yes","Yes",NA,"Unknown","Yes",NA,"Yes","8","8-90",NA,"1",4,10,10,9,3600,3,400,NA
"4",NA,"Calamaria ingeri","CHORDATA","REPTILIA","SQUAMATA","CALAMARIIDAE",1442469,2011-08-30,"CR","3.1","A3c; B1ab(iii)","A3c; B1ab(iii)",1,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,"1",4,10,10,9,3600,3,400,NA
"5",NA,"Horsfieldia sessilifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","MYRISTICACEAE",9873834,1998-01-01,"CR","2.3","A1c, B1+2c","A2c;B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,3,400,NA
"6",NA,"Vatica yeechongii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",50778606,2018-08-01,"CR","3.1","A4c","A4c",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","8",NA,"80","2",4,10,10,9,3600,3,400,NA
"7",NA,"Plectostoma turriforme","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","DIPLOMMATINIDAE",58628551,2014-03-28,"CR","3.1","A3bc","A3bc",1,"Decreasing","Yes","Yes","Yes",NA,"Yes",NA,"Yes","8",NA,NA,"2",4,10,10,9,3600,3,400,NA
"8",NA,"Chamalycaeus mixtus","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","ALYCAEIDAE",102149871,2016-09-09,"CR","3.1","A3c; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","A3c; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes","No","Yes","Yes",NA,"Yes","4","4",NA,"1",4,10,10,9,3600,3,400,NA
"9",NA,"Chamalycaeus microconus","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","ALYCAEIDAE",102149876,2016-09-09,"CR","3.1","A3c; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","A3c; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes","No","Yes","Yes",NA,"Yes","4","4",NA,"1",4,10,10,9,3600,3,400,NA
"10",NA,"Aulandra beccarii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","SAPOTACEAE",129337403,2020-08-17,"CR","3.1","A2ac; B1ab(ii,iii,v)+2ab(ii,iii,v)","A2ac; B1ab(ii,iii,v)+2ab(ii,iii,v)",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes",NA,"Yes","4","4-99",NA,"1",4,10,10,9,3600,3,400,NA
"11",NA,"Anisophyllea globosa","TRACHEOPHYTA","MAGNOLIOPSIDA","CUCURBITALES","ANISOPHYLLEACEAE",136325351,2018-11-15,"CR","3.1","A2c; B1ab(i,ii,iii)+2ab(i,ii,iii)","A2c; B1ab(i,ii,iii)+2ab(i,ii,iii)",1,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,"Yes","4","4",NA,"1",4,10,10,9,3600,3,400,NA
"12",NA,"Anisophyllea impressinervia","TRACHEOPHYTA","MAGNOLIOPSIDA","CUCURBITALES","ANISOPHYLLEACEAE",136325389,2018-01-17,"CR","3.1","A2c; B1ab(i,ii,iii)+2ab(i,ii,iii)","A2c; B1ab(i,ii,iii)+2ab(i,ii,iii)",1,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,"Yes","4","4",NA,"1",4,10,10,9,3600,3,400,NA
"13",NA,"Kokoona sabahana","TRACHEOPHYTA","MAGNOLIOPSIDA","CELASTRALES","CELASTRACEAE",136325478,2018-02-02,"CR","3.1","A2c","A2c",1,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,"Yes","8",NA,NA,"2",4,10,10,9,3600,3,400,NA
"14",NA,"Syzygium badescens","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",136619580,2018-06-21,"CR","3.1","A2c; B1ab(iii,v)+2ab(iii,v)","A2c; B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,"Yes","4","4",NA,"1",4,10,10,9,3600,3,400,NA
"15",NA,"Syzygium kudatense","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",136619950,2020-02-25,"CR","3.1","A2c","A2c",1,"Stable",NA,NA,NA,NA,NA,NA,NA,"8","8-100",NA,NA,4,10,10,9,3600,3,400,NA
"16",NA,"Nephelium aculeatum","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","SAPINDACEAE",136620010,2018-11-15,"CR","3.1","A2c","A2c",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,"Yes","8","8",NA,"2",4,10,10,9,3600,3,400,NA
"17",NA,"Maclurodendron parviflorum","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","RUTACEAE",137452768,2018-10-18,"CR","3.1","A4ac","A4ac",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,"Yes","12","17",NA,"2",4,10,10,9,3600,3,400,NA
"18",NA,"Gonystylus pendulus","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","THYMELAEACEAE",137452935,2018-12-20,"CR","3.1","A4ac; B1ab(ii,iii)+2ab(ii,iii)","A4ac; B1ab(ii,iii)+2ab(ii,iii)",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,"Yes","4","4-100",NA,"1",4,10,10,9,3600,3,400,NA
"19",NA,"Scaphium burkillfilii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",137492107,2018-12-14,"CR","3.1","A4ac; B1ab(ii)+2ab(ii)","A4ac; B1ab(ii)+2ab(ii)",1,"Decreasing",NA,NA,NA,NA,"Yes",NA,"Yes","4","4-100",NA,"1",4,10,10,9,3600,3,400,NA
