"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Ateleia truncata","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",152759924,2019-06-25,"CR","3.1","A4ac; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i,ii); D","A4ac; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"4","4-100","49","1",4,10,10,10,4000,1,400,NA
"2",NA,"Amphitecna loreae","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","BIGNONIACEAE",163440814,2019-12-06,"CR","3.1","A2ac; B1ab(i,iii); D","A2ac; B1ab(i,iii); D",1,"Decreasing",NA,"Yes",NA,"Yes",NA,NA,NA,"4-100","4-100","49","1",4,10,10,10,4000,1,400,NA
"3",NA,"Mortoniodendron uxpanapense","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",173847915,2020-05-14,"CR","3.1","A2ac; B1ab(iii); D","A2ac; B1ab(iii); D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"99","49","1",4,10,10,10,4000,1,400,NA
"4","Gulf of California Harbour Porpoise","Phocoena sinus","CHORDATA","MAMMALIA","ARTIODACTYLA","PHOCOENIDAE",214541137,2022-03-02,"CR","3.1","A2a; C1+2a(ii); D; E","A2a; C1+2a(ii); D; E",1,"Decreasing","Yes","Unknown","No","No","Yes",NA,NA,"2000",NA,"18","1",4,10,10,10,4000,1,400,NA
"5","Little Chamal","Zamia vazquezii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243413573,2020-06-26,"CR","3.1","A2cd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i); D","A2cd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i); D",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes","8","75-100","2-49","2",4,10,10,10,4000,1,400,NA
"6",NA,"Coryphantha potosiana","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",670183,2009-11-19,"CR","3.1","A3c; B1ab(iii,v)+2ab(iii,v)","A3c; B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","1","1","2000","1",4,10,10,9,3600,6,400,NA
"7",NA,"Ceratozamia santillanii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",1828396,2020-10-06,"CR","3.1","A3cd+4cd; B1ab(i,ii,iii,iv,v)","A3cd+4cd; B1ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","12","44","200-250","2",4,10,10,9,3600,6,400,NA
"8","Golf ball","Mammillaria herrerae","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",2935827,2009-11-18,"CR","3.1","A2ad; B1ab(v)+2ab(v)","A2ad; B1ab(v)+2ab(v)",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,"1","4",NA,"1",4,10,10,9,3600,6,400,NA
"9",NA,"Mammillaria marcosii","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",2936060,2009-11-19,"CR","3.1","A2d+3d; B1ab(v)+2ab(v); C2a(ii)","A2d+3d; B1ab(v)+2ab(v); C2a(ii)",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,"9","10","150","1",4,10,10,9,3600,6,400,NA
"10",NA,"Zamia inermis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",69833031,2020-06-25,"CR","3.1","A2acd+4acd; B1ab(i,ii,iii,v)","A2acd+4acd; B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes",NA,"50","300-350","1",4,10,10,9,3600,6,400,NA
"11",NA,"Capparidastrum tuxtlense","TRACHEOPHYTA","MAGNOLIOPSIDA","BRASSICALES","CAPPARACEAE",126300621,2020-02-25,"CR","3.1","A2c; B1ab(i,ii,iii,v)","A2c; B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"32","32","499","1",4,10,10,9,3600,6,400,NA
"12",NA,"Gyminda fimbrillata","TRACHEOPHYTA","MAGNOLIOPSIDA","CELASTRALES","CELASTRACEAE",126300706,2020-02-04,"CR","3.1","A2ac; B1ab(ii,iii)","A2ac; B1ab(ii,iii)",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"25-100","249","2",4,10,10,9,3600,6,400,NA
"13",NA,"Mappia mexicana","TRACHEOPHYTA","MAGNOLIOPSIDA","ICACINALES","ICACINACEAE",126604259,2020-04-01,"CR","3.1","A2ac","A2ac",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"4","5594",NA,NA,4,10,10,9,3600,6,400,NA
"14",NA,"Cleyera serrulata","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PENTAPHYLACACEAE",126609768,2020-04-09,"CR","3.1","A2ac","A2ac",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"8",NA,NA,NA,4,10,10,9,3600,6,400,NA
"15",NA,"Cleyera velutina","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PENTAPHYLACACEAE",126609773,2020-04-09,"CR","3.1","A2c","A2c",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"20","66.266","249",NA,4,10,10,9,3600,6,400,NA
"16",NA,"Amyris thyrsiflora","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","RUTACEAE",126620858,2020-11-18,"CR","3.1","A2ac","A2ac",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"16","38.414","249",NA,4,10,10,9,3600,6,400,NA
