"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Tanal de bigotes","Phragmipedium exstaminodium","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43328084,2015-09-09,"CR","3.1","A2cd+3cd+4cd; B1ab(ii,iii,v); C1+2a(i,ii); D","A2cd+3cd+4cd; B1ab(ii,iii,v); C1+2a(i,ii); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Unknown","Yes",NA,NA,"20","20","5","1",4,10,10,10,4000,1,400,NA
"2",NA,"Ateleia truncata","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",152759924,2019-06-25,"CR","3.1","A4ac; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i,ii); D","A4ac; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i,ii); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"4","4-100","49","1",4,10,10,10,4000,1,400,NA
"3","Vaquita","Phocoena sinus","CHORDATA","MAMMALIA","ARTIODACTYLA","PHOCOENIDAE",214541137,2022-03-02,"CR","3.1","A2a; C1+2a(ii); D; E","A2a; C1+2a(ii); D; E","Extant","Native",1,"Decreasing","Yes","Unknown","No","No","Yes",NA,NA,"2000",NA,"18","1",4,10,10,10,4000,1,400,NA
"4",NA,"Coryphantha potosiana","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",670183,2009-11-19,"CR","3.1","A3c; B1ab(iii,v)+2ab(iii,v)","A3c; B1ab(iii,v)+2ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","1","1","2000","1",4,10,10,9,3600,4,400,NA
"5",NA,"Ceratozamia santillanii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",1828396,2020-10-06,"CR","3.1","A3cd+4cd; B1ab(i,ii,iii,iv,v)","A3cd+4cd; B1ab(i,ii,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","12","44","200-250","2",4,10,10,9,3600,4,400,NA
"6",NA,"Mammillaria marcosii","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",2936060,2009-11-19,"CR","3.1","A2d+3d; B1ab(v)+2ab(v); C2a(ii)","A2d+3d; B1ab(v)+2ab(v); C2a(ii)","Extant","Native",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,"9","10","150","1",4,10,10,9,3600,4,400,NA
"7","Palmita","Zamia inermis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",69833031,2020-06-25,"CR","3.1","A2acd+4acd; B1ab(i,ii,iii,v)","A2acd+4acd; B1ab(i,ii,iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes",NA,"50","300-350","1",4,10,10,9,3600,4,400,NA
"8",NA,"Meliosma nesites","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","SABIACEAE",126621028,2020-11-09,"CR","3.1","A3ce; B1ab(iii)+2ab(iii)","A3ce; B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"8","8",NA,"1",4,10,10,9,3600,4,400,NA
"9","Ahuacasusco","Magnolia granbarrancae","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","MAGNOLIACEAE",254594969,2022-02-20,"CR","3.1","A3c; B1ab(iii,v)+2ab(iii,v); C1","A3c; B1ab(iii,v)+2ab(iii,v); C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"8","8","74","4",4,10,10,9,3600,4,400,NA
"10","Dry-Growing Mexipedium","Mexipedium xerophyticum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327764,2015-11-17,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1+2a(i,ii); D","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1+2a(i,ii); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","Yes","4","4","5-50","1",4,10,8,10,3200,10,400,NA
