"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Callerya neocaledonica","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",7466940,2007-05-15,"CR","3.1","A2ce; B1ab(iii)+2ab(iii); D","A2ce; B1ab(iii)+2ab(iii); D",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","3","3","0-50","1",4,10,10,10,4000,1,400,NA
"2",NA,"Tinadendron noumeanum","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",7472224,2007-05-15,"CR","3.1","A2ce; C2a(i,ii); D","A2ce; C2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","0.38","0.38","20-50","2",4,10,10,10,4000,1,400,NA
"3",NA,"Eugenia sp. nov. 'lepredourii'","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",7467970,2007-05-15,"CR","3.1","A2ce; C2a(i)","A2ce; C2a(i)",1,"Unknown","Yes","Yes",NA,NA,NA,NA,"Yes","0.08","0.08","50-250","2",4,10,10,9,3600,3,400,NA
"4",NA,"Ochrosia inventorum","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE",7469213,2007-05-15,"CR","3.1","A2ce; B1ab(iii)+2ab(iii)","A2ce; B1ab(iii)+2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","0.58","0.58",NA,"1",4,10,10,9,3600,3,400,NA
"5",NA,"Canavalia veillonii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",7474849,2007-05-15,"CR","3.1","A2ce; B1ab(iii)+2ab(iii)","A2ce; B1ab(iii)+2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,10,9,3600,3,400,NA
"6",NA,"Draparnaudia subnecata","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","DRAPARNAUDIIDAE",12808765,1996-08-01,"CR","2.3","A1c, B1+2c","A2c;B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,3,400,NA
"7",NA,"Litsea racemiflora","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",115535884,2015-09-10,"CR","3.1","A4c","A4c",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"16","42",NA,"2",4,10,10,9,3600,3,400,NA
"8",NA,"Bocquillonia castaneifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE",115539018,2015-09-10,"CR","3.1","A4c; B1ab(i,ii,iii,v)","A4c; B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes",NA,NA,"24","24","250-999","1",4,10,10,9,3600,3,400,NA
"9",NA,"Neisosperma sevenetii","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE",115539585,2015-09-10,"CR","3.1","A4c; B1ab(i,ii,iii,v); C2a(ii)","A4c; B1ab(i,ii,iii,v); C2a(ii)",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes",NA,NA,"16","16","51-249","1",4,10,10,9,3600,3,400,NA
"10",NA,"Homalium polystachyum","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE",115541531,2015-09-10,"CR","3.1","A4c","A4c",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"12","12","1000-2499","2",4,10,10,9,3600,3,400,NA
"11",NA,"Cyathopsis violaceospicata","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","ERICACEAE",115541090,2015-09-10,"CR","3.1","A4c","A4c",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"12","1170",NA,"3",4,10,10,4,1600,11,400,NA
"12",NA,"Eugenia sp. nov. 'dagostini'","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",7467751,2007-05-15,"EN","3.1","A2ce; B1ab(iii)+2ab(iii)","A2ce; B1ab(iii)+2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","0.7","52.3",NA,"2",2,10,6,9,1080,12,180,NA
"13",NA,"Terminalia cherrieri","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","COMBRETACEAE",9625966,2007-05-15,"EN","3.1","A2ce+3e","A2ce+3e",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"37","86",NA,"9",2,10,6,9,1080,12,180,NA
"14",NA,"Homalium rubrocostatum","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE",115533799,2015-10-12,"EN","3.1","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"20","67",NA,"4",2,10,6,9,1080,12,180,NA
"15",NA,"Cleidion velutinum","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE",115534622,2015-09-10,"EN","3.1","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"36","60",NA,"4",2,10,6,9,1080,12,180,NA
"16",NA,"Eugenia gatopensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",115538127,2015-09-10,"EN","3.1","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"20","26",NA,"3",2,10,6,9,1080,12,180,NA
"17",NA,"Xylosma inaequinervium","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE",115538268,2015-10-12,"EN","3.1","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"28","81",NA,"3",2,10,6,9,1080,12,180,NA
"18",NA,"Thiollierea kaalaensis","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",115538571,2015-09-10,"EN","3.1","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"28","28",NA,"4",2,10,6,9,1080,12,180,NA
"19",NA,"Elaeodendron parvifolium","TRACHEOPHYTA","MAGNOLIOPSIDA","CELASTRALES","CELASTRACEAE",115541242,2015-09-10,"EN","3.1","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A4c; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"16","16",NA,"3",2,10,6,9,1080,12,180,NA
