"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Pukuma Skink","Oligosoma hoparatea","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE",120192594,2018-02-17,"CR","3.1","A4abe; B2ab(v); C1+2a(i)","A4abe; B2ab(v); C1+2a(i)",1,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes","8",NA,"200","1",4,10,10,9,3600,1,400,NA
"2","New Zealand Dotterel","Charadrius obscurus","CHORDATA","AVES","CHARADRIIFORMES","CHARADRIIDAE",126893184,2017-10-01,"CR","3.1","A4a; C1+2a(ii)","A4a; C1+2a(ii)",1,"Decreasing","Yes","Unknown","Yes","Yes","Yes","Yes","No",NA,"2200","60-80","11-100",4,10,10,9,3600,1,400,NA
"3","Chatham Island Shag","Leucocarbo onslowi","CHORDATA","AVES","SULIFORMES","PHALACROCORACIDAE",131116322,2018-08-09,"CR","3.1","A2bcde+3bcde+4bcde","A2bcde+3bcde+4bcde",1,"Decreasing","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","1","8600","710","2",4,10,10,9,3600,1,400,NA
"4","Chatham Island Taiko","Pterodroma magentae","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE",131879320,2018-08-07,"CR","3.1","A2ce","A2ce",1,"Increasing","No","No","Unknown","Unknown","No","Unknown","Yes","2","1850000","80-100","1",4,10,10,9,3600,1,400,NA
"5","Barker’s Koromiko","Veronica barkeri","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","PLANTAGINACEAE",62620653,2023-09-06,"CR","3.1","A4ace","A4ace",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"249",NA,4,10,10,8,3200,5,400,NA
"6","Owl Parrot","Strigops habroptilus","CHORDATA","AVES","PSITTACIFORMES","STRIGOPIDAE",129751169,2018-08-07,"CR","3.1","A2be","A2be",1,"Increasing","No","No","No","No","No","No","Yes",NA,"95100","116","3",4,10,10,8,3200,5,400,NA
"7","Orange-fronted Parakeet","Cyanoramphus malherbi","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",130890144,2018-08-07,"CR","3.1","A2bce","A2bce",1,"Stable","Yes","Unknown","Yes","Yes","Yes","Yes","Yes",NA,"118000","50-249","7",4,10,10,8,3200,5,400,NA
"8","Archey's Frog","Leiopelma archeyi","CHORDATA","AMPHIBIA","ANURA","LEIOPELMATIDAE",66654575,2015-07-21,"CR","3.1","A2ab","A2ab",1,"Stable","No",NA,"No","No","No",NA,"Yes","1376","13881","5000-20000","4",4,10,10,7,2800,8,400,NA
"9","Burgan Skink","Oligosoma burganae","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE",120192574,2018-02-17,"CR","3.1","A2abce+4abce","A2abce+4abce",1,"Decreasing","Yes","Unknown",NA,NA,NA,"Unknown",NA,"32","30566","250",NA,4,10,10,6,2400,9,400,NA
"10","Pitt Shag","Phalacrocorax featherstoni","CHORDATA","AVES","SULIFORMES","PHALACROCORACIDAE",132595530,2018-08-08,"EN","3.1","A2bde+3bde+4bde; C1+2a(ii)","A2bde+3bde+4bde; C1+2a(ii)",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","22","13400","868","11-100",2,10,6,7,840,10,140,NA
