"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Dactyladenia dichotoma","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","CHRYSOBALANACEAE",9722949,1998-01-01,"CR","2.3","A1c, B1+2c","A2c;B1ab(iii)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,5,9,1800,1,360,NA
"2",NA,"Dactyladenia eketensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","CHRYSOBALANACEAE",9723109,1998-01-01,"CR","2.3","A1c, B1+2c","A2c;B1ab(iii)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,5,9,1800,1,360,NA
"3",NA,"Napoleonaea lutea","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","LECYTHIDACEAE",9723503,1998-01-01,"CR","2.3","A1c, B1+2c","A2c;B1ab(iii)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,5,9,1800,1,360,NA
"4",NA,"Berlinia hollandii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",112188569,2016-11-24,"CR","3.1","B1ab(i,ii,iii)+2ab(i,ii,iii); C2a(i,ii); D","B1ab(i,ii,iii)+2ab(i,ii,iii); C2a(i,ii); D","Possibly Extinct","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"4","4","10-20","1",4,10,2,10,800,4,400,NA
"5",NA,"Bulbophyllum apertiflorum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",87757764,2016-10-14,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"No",NA,NA,"4",NA,NA,"1",4,10,2,9,720,5,360,NA
"6",NA,"Habenaria phylacocheira","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",87757819,2016-11-24,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"1",4,10,2,9,720,5,360,NA
"7","Perret's Toad","Sclerophrys perreti","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",177148074,2016-07-06,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"23.08",NA,"1",4,10,2,9,720,5,360,NA
"8","Smooth Stingray","Fontitrygon garouaensis","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","DASYATIDAE",104171509,2020-08-04,"CR","3.1","A2cd","A2cd","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown",NA,"1392","260360",NA,"5",4,5,5,4,400,8,100,NA
"9",NA,"Dovyalis cameroonensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE",110092214,2017-03-20,"CR","3.1","D","D","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","28","3279.397","36","5-6",4,5,2,10,400,8,200,NA
"10",NA,"Fundulopanchax powelli","CHORDATA","ACTINOPTERYGII","CYPRINODONTIFORMES","NOTHOBRANCHIIDAE",134759975,2019-05-07,"CR","3.1","B2ab(iii); D","B2ab(iii); D","Possibly Extinct","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","4",NA,"49","1",4,10,1,10,400,8,400,NA
"11",NA,"Cynisca gansi","CHORDATA","REPTILIA","SQUAMATA","AMPHISBAENIDAE",2771570,2012-07-16,"CR","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)","Possibly Extinct","Native",1,"Unknown",NA,"Yes",NA,NA,"Yes",NA,"Yes","3","5",NA,"1",4,10,1,9,360,11,360,NA
"12",NA,"Cynisca kigomensis","CHORDATA","REPTILIA","SQUAMATA","AMPHISBAENIDAE",2771584,2012-07-16,"CR","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,"Yes",NA,"Yes","6","6",NA,"1",4,10,1,9,360,11,360,NA
"13",NA,"Napoleonaea reptans","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","LECYTHIDACEAE",9723613,1998-01-01,"CR","2.3","B1+2c","B1ab(iii)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,1,9,360,11,360,NA
"14",NA,"Hymenostegia talbotii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",9724692,1998-01-01,"CR","2.3","B1+2c","B1ab(iii)","Extant","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,1,9,360,11,360,NA
