"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Bougainville Paphiopedilum","Paphiopedilum bougainvilleanum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327799,2014-11-20,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,"8","80","0-50","1",4,10,10,10,4000,1,400,NA
"2","Scott's Tree-kangaroo","Dendrolagus scottae","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE",21956375,2015-09-30,"CR","3.1","A2d","A2d",1,"Stable",NA,NA,NA,"Unknown",NA,"No",NA,NA,"150","200","2",4,10,10,8,3200,2,400,NA
"3","Wentworth's Paphiopedilum","Paphiopedilum wentworthianum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43328039,2014-11-24,"CR","3.1","A2acd+3cd+4acd; C1+2a(i)","A2acd+3cd+4acd; C1+2a(i)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"100","25000","100-200",NA,4,10,10,8,3200,2,400,NA
"4","Golden-mantled Tree Kangaroo","Dendrolagus pulcherrimus","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE",21957219,2015-07-25,"CR","3.1","A1ad","A1ad",2,"Stable","No","No","No","No",NA,"No","Yes",NA,"300","500","2",4,5,10,7,1400,4,200,NA
"5","Papua Paphiopedilum","Paphiopedilum papuanum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327934,2014-11-24,"EN","3.1","A2acd+3cd+4acd; B2ab(ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B2ab(ii,iii,v); C1+2a(i); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"50","85000","0-50","3",2,10,6,10,1200,5,200,NA
"6","Poncelet's Naked-tailed Rat","Solomys ponceleti","CHORDATA","MAMMALIA","RODENTIA","MURIDAE",22430082,2024-03-06,"CR","3.1","A2cd","A2cd",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"19233",NA,"2",4,5,10,5,1000,6,200,NA
"7","Gland-Bearing Paphiopedilum","Paphiopedilum glanduliferum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327839,2014-11-11,"EN","3.1","A2acd+3cd+4acd; B2ab(ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B2ab(ii,iii,v); C1+2a(i); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"200","150000","0-200","4",2,10,6,8,960,7,160,NA
"8","Black Dorcopsis Wallaby","Dorcopsis atrata","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE",21952571,2015-06-15,"CR","3.1","B1ab(i,iii)","B1ab(i,iii)",1,"Decreasing",NA,"Yes",NA,"Yes",NA,NA,NA,NA,"80",NA,"1",4,10,2,9,720,8,360,NA
"9","Northern Glider","Petaurus abidi","CHORDATA","MAMMALIA","DIPROTODONTIA","PETAURIDAE",21959298,2016-06-30,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"93",NA,"1",4,10,2,9,720,8,360,NA
"10",NA,"Choerophryne siegfriedi","CHORDATA","AMPHIBIA","ANURA","MICROHYLIDAE",71675028,2019-07-26,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes",NA,"10",NA,"1",4,10,2,9,720,8,360,NA
"11",NA,"Paedophryne kathismaphlox","CHORDATA","AMPHIBIA","ANURA","MICROHYLIDAE",76317840,2019-08-03,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10",NA,"1",4,10,2,9,720,8,360,NA
"12",NA,"Oreophryne matawan","CHORDATA","AMPHIBIA","ANURA","MICROHYLIDAE",112682183,2019-08-03,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10",NA,"1",4,10,2,9,720,8,360,NA
"13",NA,"Oreophryne penelopeia","CHORDATA","AMPHIBIA","ANURA","MICROHYLIDAE",112683372,2019-08-03,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10",NA,"1",4,10,2,9,720,8,360,NA
"14",NA,"Beilschmiedia dielsiana","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",143271545,2020-04-03,"CR","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,NA,"4","4-100",NA,"1",4,10,2,9,720,8,360,NA
