"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Bougainville Paphiopedilum","Paphiopedilum bougainvilleanum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327799,2014-11-20,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","Extant","Native",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,"8","80","0-50","1",4,10,10,10,4000,1,400,NA
"2","Wentworth's Paphiopedilum","Paphiopedilum wentworthianum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43328039,2014-11-24,"CR","3.1","A2acd+3cd+4acd; C1+2a(i)","A2acd+3cd+4acd; C1+2a(i)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"100","25000","100-200",NA,4,10,10,8,3200,2,400,NA
"3","Tenkile","Dendrolagus scottae","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE",21956375,2015-09-30,"CR","3.1","A2d","A2d","Extant","Native",1,"Stable",NA,NA,NA,"Unknown",NA,"No",NA,NA,"150","200","2",4,10,5,8,1600,3,320,NA
"4","Papua Paphiopedilum","Paphiopedilum papuanum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327934,2014-11-24,"EN","3.1","A2acd+3cd+4acd; B2ab(ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B2ab(ii,iii,v); C1+2a(i); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"50","85000","0-50","3",2,10,6,10,1200,4,200,NA
"5",NA,"Santalum macgregorii","TRACHEOPHYTA","MAGNOLIOPSIDA","SANTALALES","SANTALACEAE",185829280,2020-10-13,"CR","3.1","A2cd+3cd+4cd","A2cd+3cd+4cd","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"176.000","19841.775",NA,"20",4,10,10,3,1200,4,400,NA
"6","Gland-Bearing Paphiopedilum","Paphiopedilum glanduliferum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327839,2014-11-11,"EN","3.1","A2acd+3cd+4acd; B2ab(ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B2ab(ii,iii,v); C1+2a(i); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"200","150000","0-200","4",2,10,6,8,960,6,160,NA
"7","Black Dorcopsis","Dorcopsis atrata","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE",21952571,2015-06-15,"CR","3.1","B1ab(i,iii)","B1ab(i,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes",NA,NA,NA,NA,"80",NA,"1",4,10,2,9,720,7,360,NA
"8","Northern Glider","Petaurus abidi","CHORDATA","MAMMALIA","DIPROTODONTIA","PETAURIDAE",21959298,2016-06-30,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"93",NA,"1",4,10,2,9,720,7,360,NA
"9",NA,"Choerophryne siegfriedi","CHORDATA","AMPHIBIA","ANURA","MICROHYLIDAE",71675028,2019-07-26,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes",NA,"10",NA,"1",4,10,2,9,720,7,360,NA
"10",NA,"Paedophryne kathismaphlox","CHORDATA","AMPHIBIA","ANURA","MICROHYLIDAE",76317840,2019-08-03,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10",NA,"1",4,10,2,9,720,7,360,NA
"11",NA,"Oreophryne matawan","CHORDATA","AMPHIBIA","ANURA","MICROHYLIDAE",112682183,2019-08-03,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10",NA,"1",4,10,2,9,720,7,360,NA
"12",NA,"Oreophryne penelopeia","CHORDATA","AMPHIBIA","ANURA","MICROHYLIDAE",112683372,2019-08-03,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10",NA,"1",4,10,2,9,720,7,360,NA
"13",NA,"Beilschmiedia dielsiana","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",143271545,2020-04-03,"CR","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Possibly Extinct","Native",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,NA,"4","4-100",NA,"1",4,10,2,9,720,7,360,NA
"14",NA,"Beilschmiedia longifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",143271550,2020-04-07,"CR","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Possibly Extinct","Native",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,NA,"4","4-100",NA,"1",4,10,2,9,720,7,360,NA
"15",NA,"Beilschmiedia pubescens","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",143271570,2020-04-07,"CR","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Possibly Extinct","Native",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,NA,"8","8-100",NA,"1",4,10,2,9,720,7,360,NA
"16",NA,"Beilschmiedia pullenii","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",143271575,2019-11-16,"CR","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Extant","Native",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,NA,"4","4-100",NA,"1",4,10,2,9,720,7,360,NA
"17",NA,"Beilschmiedia rosseliana","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",143271580,2020-04-07,"CR","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Possibly Extinct","Native",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,NA,"4","4-100",NA,"1",4,10,2,9,720,7,360,NA
"18",NA,"Beilschmiedia sericea","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",143271585,2020-04-06,"CR","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Possibly Extinct","Native",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,NA,"4","4-100",NA,"1",4,10,2,9,720,7,360,NA
"19",NA,"Beilschmiedia triplinervis","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",143271590,2020-04-06,"CR","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Possibly Extinct","Native",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,NA,"4","4-100",NA,"1",4,10,2,9,720,7,360,NA
