"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Telmatobius mendelsoni","CHORDATA","AMPHIBIA","ANURA","TELMATOBIIDAE",254215789,2017-04-21,"CR","3.1","A2ae; D","A2ae; D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"2626.7","0-49","2",4,10,10,10,4000,1,400,NA
"2",NA,"Haageocereus pacalaensis","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",627212,2011-05-05,"CR","3.1","A4ac","A4ac",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"1200",NA,"2",4,10,10,7,2800,2,400,NA
"3",NA,"Myrcianthes ferreyrae","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",60492909,2014-04-28,"CR","3.1","A3cd+4acd","A3cd+4acd",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes","24","170","580","6",4,10,10,7,2800,2,400,NA
"4",NA,"Hyloscirtus hillisi","CHORDATA","AMPHIBIA","ANURA","HYLIDAE",150088895,2021-03-17,"CR","3.1","A3c; B1ab(iii,v)","A3c; B1ab(iii,v)",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"10-99",NA,"1",4,5,10,9,1800,4,200,NA
"5","Peruvian Orange-bush Lichen","Teloschistes peruensis","ASCOMYCOTA","LECANOROMYCETES","TELOSCHISTALES","TELOSCHISTACEAE",200461575,2020-08-13,"CR","3.1","A2bce","A2bce",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","8","8","115","2",4,5,10,9,1800,4,200,NA
"6","Chilean Woodstar","Eulidia yarrellii","CHORDATA","AVES","CAPRIMULGIFORMES","TROCHILIDAE",181468935,2020-08-11,"CR","3.1","A2ace+3ce+4ace; C2a(ii)","A2ace+3ce+4ace; C2a(ii)",2,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Unknown","6220","8500","210",NA,4,5,10,8,1600,6,200,NA
"7",NA,"Dicypellium caryophyllaceum","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",176128859,2020-03-29,"CR","3.1","A2acd; C1","A2acd; C1",3,"Decreasing",NA,"No","No","No","No",NA,NA,"12","60907","249",NA,4,3.33333333333333,10,8,1066.66666666667,7,133.333333333333,NA
"8",NA,"Cleistocactus jajoanus","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",650046,2011-05-04,"EN","3.1","A2ac; B1ab(iii,v)","A2ac; B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"100",NA,"2",2,10,6,7,840,8,140,NA
"9","Kovach's Phragmipedium ","Phragmipedium kovachii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43328114,2015-07-30,"CR","3.1","B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i,ii); D","B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,"Unknown","Yes","Yes","Yes","4","4","6-50","1",4,10,2,10,800,9,400,NA
"10",NA,"Brugmansia insignis","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",51248842,2013-10-31,"EW","3.1",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,10,800,9,80,NA
"11",NA,"Brugmansia arborea","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",58386508,2014-04-05,"EW","3.1",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,10,800,9,80,NA
"12",NA,"Brugmansia sanguinea","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",58396933,2014-04-06,"EW","3.1",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,10,800,9,80,NA
"13","Peru Stubfoot Toad","Atelopus peruensis","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",89196220,2018-03-31,"CR","3.1","D","D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"29535.5","0-49",NA,4,10,2,10,800,9,400,NA
"14","Paramo Toad","Nannophryne cophotis","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",89196913,2018-03-30,"CR","3.1","D","D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"24176","0-49","3",4,10,2,10,800,9,400,NA
"15","Rio Cosnipata Robber Frog","Pristimantis cosnipatae","CHORDATA","AMPHIBIA","ANURA","STRABOMANTIDAE",89206416,2017-04-19,"CR","3.1","D","D",1,"Decreasing",NA,"Unknown",NA,NA,NA,NA,NA,NA,"28.23","1-49",NA,4,10,2,10,800,9,400,NA
"16","Tojologue Water Frog","Telmatobius timens","CHORDATA","AMPHIBIA","ANURA","TELMATOBIIDAE",89216001,2019-09-24,"CR","3.1","A2ace","A2ace",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"8433",NA,"5",4,5,10,4,800,9,200,NA
"17",NA,"Atelopus eusebiodiazi","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",89221443,2018-03-23,"CR","3.1","B1ab(iii); D","B1ab(iii); D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10","0-49","1",4,10,2,10,800,9,400,NA
"18","Yellow-tailed Woolly Monkey","Lagothrix flavicauda","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE",192307818,2019-03-18,"CR","3.1","A4cd","A4cd",1,"Decreasing","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"1000-10000",NA,4,10,10,2,800,9,400,NA
