"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Amesiella monticola","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",11042992,2004-04-30,"CR","3.1","A4acd; B1ab(ii,iii,v); D","A4acd; B1ab(ii,iii,v); D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"2",NA,"Ascoglossum calopterum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",11043316,2004-04-30,"CR","3.1","A4acd; B1ab(ii,iii,v); D","A4acd; B1ab(ii,iii,v); D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"3",NA,"Ceratocentron fesselii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",11043482,2004-04-30,"CR","3.1","A4acd; B1ab(ii,iii,v); D","A4acd; B1ab(ii,iii,v); D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"4",NA,"Dendrobium schuetzei","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",11043816,2004-04-30,"CR","3.1","A4acd; B1ab(ii,iii,v); D","A4acd; B1ab(ii,iii,v); D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"5",NA,"Phalaenopsis micholitzii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",11046733,2004-04-30,"CR","3.1","A4acd; B1ab(ii,iii,v); D","A4acd; B1ab(ii,iii,v); D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"6",NA,"Gastrochilus calceolaris","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",11050339,2004-04-30,"CR","3.1","A4acd; B1ab(ii,iii,v); D","A4acd; B1ab(ii,iii,v); D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"7","Urban's Paphiopedilum","Paphiopedilum urbanianum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43319798,2014-08-21,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","0-50","1",4,10,10,10,4000,1,400,NA
"8","David's Tiger","Parantica davidi","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE",5424485,1996-08-01,"CR","2.3","A1c, B1+2abde, C2b","A2c;B1ab(i,ii,iv,v);C2a(ii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,8,400,NA
"9",NA,"Helicostyla smargadina","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","BRADYBAENIDAE",13018354,1996-08-01,"CR","2.3","A2c, B1+2c","A3c;B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,8,400,NA
"10",NA,"Paphiopedilum adductum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43317822,2014-07-24,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v)","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","10",NA,"1",4,10,10,9,3600,8,400,NA
"11","Philippine Crocodile","Crocodylus mindorensis","CHORDATA","REPTILIA","CROCODYLIA","CROCODYLIDAE",3048281,2012-05-24,"CR","3.1","A2cd","A2cd",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","25-2000","257309","92-137","6",4,10,10,8,3200,11,400,NA
"12",NA,"Vatica elliptica","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",114505484,2019-08-22,"CR","3.1","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i,ii); D","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes","4","4-10","3","1",4,10,8,10,3200,11,400,NA
"13","Great Philippine Eagle","Pithecophaga jefferyi","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",273773083,2025-06-17,"CR","3.1","A2cd+4cd; C2a(i)","A2cd+4cd; C2a(i)",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"540000-607000","128-924","11-100",4,10,10,8,3200,11,400,NA
"14","Mindoro Dwarf Buffalo","Bubalus mindorensis","CHORDATA","MAMMALIA","ARTIODACTYLA","BOVIDAE",50737640,2016-04-27,"CR","3.1","C1+2a(ii)","C1+2a(ii)",1,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes","100","100","220-300","3",4,10,8,8,2560,14,320,NA
"15","Red-vented Cockatoo","Cacatua haematuropygia","CHORDATA","AVES","PSITTACIFORMES","CACATUIDAE",117578604,2017-10-01,"CR","3.1","A2bcd","A2bcd",1,"Decreasing","Unknown","Yes","Yes","Yes","Yes","Unknown","No","300","734000","430-750","11-100",4,10,10,6,2400,15,400,NA
"16",NA,"Cycas zambalensis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",243421546,2020-11-12,"CR","3.1","A4acd","A4acd",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,NA,NA,"526",NA,"2",4,10,10,5,2000,16,400,NA
"17","Curran’s Pitogo","Cycas curranii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",67341354,2020-11-20,"CR","3.1","A2acd+4acd","A2acd+4acd",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,NA,NA,"634","2500-5000","3",4,10,10,4,1600,17,400,NA
"18","Philippine Pond Turtle","Siebenrockiella leytensis","CHORDATA","REPTILIA","TESTUDINES","GEOEMYDIDAE",2929929,2018-03-13,"CR","3.1","A4abcd","A4abcd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"1495",NA,NA,4,10,10,3,1200,18,400,NA
"19",NA,"Nepenthes palawanensis","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","NEPENTHACEAE",49009815,2013-12-05,"EN","3.1","A3d","A3d",1,"Unknown","Unknown","No","Unknown","Unknown","Unknown",NA,"Yes","8","8","2000","1",2,10,6,9,1080,19,180,NA
"20","Freshwater Sardinella","Sardinella tawilis","CHORDATA","ACTINOPTERYGII","CLUPEIFORMES","CLUPEIDAE",143839946,2017-02-28,"EN","3.1","A2bd; B1ab(iii,v)+2ab(iii,v)","A2bd; B1ab(iii,v)+2ab(iii,v)",1,"Decreasing",NA,NA,NA,NA,NA,NA,"Yes","244","297",NA,"1",2,10,6,7,840,20,140,NA
"21",NA,"Rafflesia magnifica","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","RAFFLESIACEAE",3873727,2008-01-01,"CR","3.1","B1ab(ii,iii,v); D","B1ab(ii,iii,v); D",1,"Decreasing",NA,"Yes","Yes",NA,NA,NA,"Yes",NA,NA,NA,"1",4,10,2,10,800,21,400,NA
"22","Philippine Bare-backed Fruit Bat","Dobsonia chapmani","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE",22033978,2020-03-15,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","Yes","No",NA,"Unknown","Unknown","Yes","40-56",NA,"40-50","2",4,10,2,10,800,21,400,NA
"23",NA,"Dillenia fischeri","TRACHEOPHYTA","MAGNOLIOPSIDA","DILLENIALES","DILLENIACEAE",153533781,2019-08-22,"CR","3.1","B1ab(i,iii)+2ab(i,iii); D","B1ab(i,iii)+2ab(i,iii); D",1,"Decreasing",NA,"Yes",NA,"Yes",NA,NA,"Yes","8","8-80","49","1",4,10,2,10,800,21,400,NA
"24","Speckled Reed Warbler","Acrocephalus sorghophilus","CHORDATA","AVES","PASSERIFORMES","ACROCEPHALIDAE",154735033,2022-01-05,"CR","3.1","A2bc","A2bc",3,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Unknown","No",NA,"48700","1-999",NA,4,3.33333333333333,10,6,800,21,133.333333333333,NA
"25","Sulu Hornbill","Anthracoceros montani","CHORDATA","AVES","BUCEROTIFORMES","BUCEROTIDAE",178062684,2020-06-25,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","Yes","400","780","1-49","2-5",4,10,2,10,800,21,400,NA
"26",NA,"Barbodes sirang","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","CYPRINIDAE",192625918,2019-11-12,"CR","3.1","D","D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"358","441","0-49","1",4,10,2,10,800,21,400,NA
"27",NA,"Barbodes lindog","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","CYPRINIDAE",192626347,2019-11-18,"CR","3.1","D","D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"358","441","0-49","1",4,10,2,10,800,21,400,NA
"28",NA,"Villaria uniflora","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",200337831,2021-05-13,"CR","3.1","B1ab(iii)+2ab(iii); D","B1ab(iii)+2ab(iii); D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4","10-50,10","1",4,10,2,10,800,21,400,NA
