"","taxon_scientific_name","assessment_id","red_list_category_code","criteria","AOO","EOO","popSize","NumLocationsExtant","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Conturbatia crenata",6458885,"CR","A2a; D","1","1","0-50",2,4,5,10,10,2000,1,200,NA
"2","Seychellea sechellarum",8843195,"CR","A2c; B1ab(v); C2a(i); D",NA,"33","50",2,4,5,10,10,2000,2,200,NA
"3","Conothele truncicola",2442723,"CR","A2a+4a","20","300",NA,2,4,5,10,5,1000,3,200,NA
"4","Sechellophryne pipilodryas",15435789,"CR","B1ab(ii,iii,v)+2ab(ii,iii,v)","7.3","15",NA,1,4,10,2,9,720,4,360,NA
"5","Otus insularis",177971497,"CR","B1ab(ii,iii,v); C2a(ii)","84","84","200-280",1,4,10,2,9,720,5,360,NA
"6","Ailuronyx trachygaster",179803011,"CR","B1ab(iii,v)+2ab(iii,v)","4","3.24",NA,1,4,10,2,9,720,6,360,NA
"7","Pachnodus fregatensis",6454444,"EN","A1a","2","2","7700",2,2,5,6,9,540,7,90,NA
"8","Drypetes riseleyi",9558008,"CR","B1ab(iii,v); C2a(i); D",NA,"60-100","40-50",2,4,5,2,10,400,8,200,NA
"9","Farqua quadrimaculata",2442863,"CR","B1ab(iii)+2ab(iii)","1","10",NA,1,4,10,1,9,360,9,360,NA
"10","Opopaea probosciella",2442968,"CR","B2ab(iii)","1","100",NA,1,4,10,1,9,360,10,360,NA
"11","Mahezomus apicoporus",2475271,"CR","B1ab(i,ii,iii,iv)","20","20",NA,2,4,5,2,9,360,11,180,NA
"12","Ariadna ustulata",2475610,"CR","B1ab(iii,v)+2ab(iii,v)","0.07","0.07",NA,2,4,5,2,9,360,12,180,NA
"13","Sliferia similis",2600347,"CR","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","5","5",NA,2,4,5,2,9,360,13,180,NA
"14","Glabrennea silhouettensis",6459829,"CR","B1ab(iii,v)c(iv)+2ab(iii,v)c(iv)","0.07","0.07","1000-7560",2,4,5,2,9,360,14,180,NA
"15","Campnosperma seychellarum",9548966,"CR","B1ab(iii,v)",NA,"51","900-1000",2,4,5,2,9,360,15,180,NA
"16","Grisollea thomassetii",9554528,"CR","B1ab(iii)","26","26","950-1000",2,4,5,2,9,360,16,180,NA
"17","Rothmannia annae",9557015,"CR","B1ab(iii,v)+2ab(iii,v)",NA,NA,"2000-2500",2,4,5,2,9,360,17,180,NA
"18","Medusagyne oppositifolia",10072208,"CR","B1ab(i,ii,iv,v)+2ab(i,ii,iv,v); C2a(ii)","5-10","25","86",2,4,5,2,9,360,18,180,NA
"19","Glabrennea thomasseti",12999286,"CR","B1ab(iii,v)+2ab(iii,v)","0.01","80","500-1000",2,4,5,2,9,360,19,180,NA
"20","Sooglossus thomasseti",15493219,"CR","B1ab(ii,iii)","21.9","67",NA,1,4,10,1,9,360,20,360,NA
"21","Phalangacris alluaudi",72317967,"CR","B1ab(iii)+2ab(iii)","8","8",NA,2,4,5,2,9,360,21,180,NA
"22","Arachnocephalus medvedevi",107431016,"CR","B1ab(i,ii,iii,v)","12","12-15",NA,2,4,5,2,9,360,22,180,NA
"23","Impatiens gordonii",128761933,"CR","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","8","8",NA,2,4,5,2,9,360,23,180,NA
"24","Coleura seychellensis",271898609,"CR","C2a(i)","16-164","218","50-100",2,4,5,2,9,360,24,180,NA
"25","Pseudoginglymostoma brevicaudatum",124435749,"CR","A2cd",NA,NA,NA,5,4,2,10,4,320,25,80,NA
"26","Zosterops modestus",177958015,"VU","A2ace+4ace; D1+2","88","1500","220-270, 250",1,1,10,4,8,320,26,80,NA
"27","Sechelleptus seychellarum",2706807,"EN","A2b; B1b(iii,v)c(iv)+2b(iii,v)c(iv)","37","600","750000",2,2,5,6,5,300,27,60,NA
"28","Threskiornis bernieri",196574917,"EN","A2bc+4bc",NA,"564000","1733-2166",2,2,5,6,5,300,28,60,NA
"29","Sechellophryne gardineri",15181011,"EN","B1ab(ii,iii,v)+2ab(ii,iii,v)","32.9","116",NA,1,2,10,2,6,240,29,120,NA
"30","Sooglossus sechellensis",15446818,"EN","B1ab(ii,iii,v)+2ab(ii,iii,v)","28.6","1114",NA,1,2,10,2,6,240,30,120,NA
"31","Allolestes maclachlanii",119049509,"EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","30","212",NA,1,2,10,2,6,240,31,120,NA
"32","Boaedon geometricus",179807395,"EN","B1ab(iii)+2ab(iii)","132","1838",NA,1,2,10,2,6,240,32,120,NA
"33","Janetaescincus braueri",179808766,"EN","B1ab(iii)+2ab(iii)","12","1200",NA,1,2,10,2,6,240,33,120,NA
"34","Janetaescincus veseyfitzgeraldi",179809878,"EN","B1ab(iii)+2ab(iii)","16","2700",NA,1,2,10,2,6,240,34,120,NA
"35","Asplenium complanatum",9114841,"CR","B1ab(iii)+2ab(iii); D","1","1","1-49",2,4,5,1,10,200,35,200,NA
"36","Nesiergus gardineri",2442730,"CR","B2ab(iii)","5","650",NA,2,4,5,1,9,180,36,180,NA
