"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Garcinia tanzaniensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","CLUSIACEAE",47348275,2013-03-21,"CR","3.1","C1","C1",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"No","29.9","975.4",NA,"4",4,10,8,8,2560,1,320,NA
"2","Hanang Mole-rat","Fukomys hanangensis","CHORDATA","MAMMALIA","RODENTIA","BATHYERGIDAE",167462772,2020-02-18,"EN","3.1","A2acd; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i); D","A2acd; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i); D",1,"Decreasing","Yes","Yes","Yes","No","Yes","Yes","No","64","645","100-200","9",2,10,6,8,960,2,160,NA
"3",NA,"Impatiens cinnabarina","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","BALSAMINACEAE",763495,2007-03-08,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); D","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); D",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes",NA,"8","8","49","1",4,10,2,10,800,3,400,NA
"4","Kihansi Spray Toad","Nectophrynoides asperginis","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",16935685,2014-07-25,"EW","3.1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,10,800,3,80,NA
"5",NA,"Cola quentinii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",111449492,2018-03-21,"CR","3.1","B1ab(iii); D","B1ab(iii); D",1,"Decreasing","Unknown","Yes",NA,NA,NA,NA,"Yes","12","12","0-50","1",4,10,2,10,800,3,400,NA
"6",NA,"Gouania ulugurica","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","RHAMNACEAE",756638,2008-04-22,"CR","3.1","B2ab(ii,iii,iv)","B2ab(ii,iii,iv)",1,"Unknown",NA,"Yes","Yes",NA,"Yes","Yes",NA,"8",NA,NA,"2",4,10,2,9,720,6,360,NA
"7",NA,"Impatiens simbiniensis","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","BALSAMINACEAE",760889,2006-11-01,"CR","3.1","B2ab(ii,iii)","B2ab(ii,iii)",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"4",NA,NA,"1",4,10,2,9,720,6,360,NA
"8",NA,"Ochna braunii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","OCHNACEAE",767182,2008-04-26,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"12-29.9568","57.3834",NA,"1",4,10,2,9,720,6,360,NA
"9",NA,"Coffea kihansiensis","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",768154,2015-06-22,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,6,360,NA
"10",NA,"Streptocarpus burttianus","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","GESNERIACEAE",771152,2008-04-25,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","8",NA,NA,"1",4,10,2,9,720,6,360,NA
"11",NA,"Buxus cordata","TRACHEOPHYTA","MAGNOLIOPSIDA","BUXALES","BUXACEAE",772037,2006-11-02,"CR","3.1","B2ab(iii,v)","B2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"8",NA,NA,"1",4,10,2,9,720,6,360,NA
"12",NA,"Streptocarpus kimbozanus","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","GESNERIACEAE",772232,2008-04-25,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,6,360,NA
"13",NA,"Impatiens paludicola","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","BALSAMINACEAE",773434,2006-11-01,"CR","3.1","B2ab(ii,iii,iv,v)","B2ab(ii,iii,iv,v)",1,"Unknown","Yes","Yes",NA,NA,"Yes","Yes",NA,"4-8",NA,NA,"1",4,10,2,9,720,6,360,NA
"14","Nguru Pygmy Chameleon","Rhampholeon acuminatus","CHORDATA","REPTILIA","SQUAMATA","CHAMAELEONIDAE",1344202,2013-08-21,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)",1,"Unknown",NA,"Yes","No","No","Yes",NA,"Yes","28","45",NA,"1",4,10,2,9,720,6,360,NA
"15",NA,"Triaspis schliebenii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","MALPIGHIACEAE",1572100,2012-04-24,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"9.9856",NA,NA,"1",4,10,2,9,720,6,360,NA
"16",NA,"Eugenia scheffleri","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",1576050,2012-04-24,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"9.9856",NA,NA,"1",4,10,2,9,720,6,360,NA
"17",NA,"Rhynchosia holtzii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",1576312,2011-09-06,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"12-30","55",NA,"1",4,10,2,9,720,6,360,NA
"18",NA,"Bulbostylis microcarpa","TRACHEOPHYTA","LILIOPSIDA","POALES","CYPERACEAE",1588274,2011-09-01,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"16-40","41",NA,"1",4,10,2,9,720,6,360,NA
"19",NA,"Dorstenia bicaudata","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","MORACEAE",1589760,2012-04-24,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"3","1.70714",NA,"1",4,10,2,9,720,6,360,NA
"20",NA,"Millettia puguensis","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",1590604,2011-09-05,"CR","3.1","B1ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes",NA,"20","27",NA,"1",4,10,2,9,720,6,360,NA
"21",NA,"Plectranthus scopulicola","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE",1593078,2012-04-24,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"1",4,10,2,9,720,6,360,NA
"22",NA,"Oldenlandia patula","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",1593094,2015-10-07,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4-9.99",NA,NA,"1",4,10,2,9,720,6,360,NA
"23",NA,"Agelanthus rondensis","TRACHEOPHYTA","MAGNOLIOPSIDA","SANTALALES","LORANTHACEAE",1593243,2012-04-24,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"9.9856",NA,NA,"1",4,10,2,9,720,6,360,NA
"24",NA,"Afrothismia mhoroana","TRACHEOPHYTA","LILIOPSIDA","DIOSCOREALES","AFROTHISMIACEAE",1593676,2009-05-15,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4-9.9856","55.69",NA,"1",4,10,2,9,720,6,360,NA
"25",NA,"Warburgia elongata","TRACHEOPHYTA","MAGNOLIOPSIDA","CANELLALES","CANELLACEAE",2811296,2006-11-02,"CR","3.1","B2ab(iii,v)","B2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"8",NA,NA,"1",4,10,2,9,720,6,360,NA
"26",NA,"Aloe pembana","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ASPHODELACEAE",5183949,2006-10-31,"CR","3.1","B1ab(iii,v)+2ab(iii,v); C2a(ii)","B1ab(iii,v)+2ab(iii,v); C2a(ii)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","10",NA,"50-250","1",4,10,2,9,720,6,360,NA
"27",NA,"Aloe flexilifolia","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ASPHODELACEAE",5191712,2006-10-31,"CR","3.1","B1ab(v)","B1ab(v)",1,"Unknown",NA,"No",NA,NA,"No",NA,"Yes","30","21",NA,"1",4,10,2,9,720,6,360,NA
"28",NA,"Aloe leptosiphon","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ASPHODELACEAE",5192905,2006-10-31,"CR","3.1","B1ab(v)","B1ab(v)",1,"Unknown",NA,NA,NA,NA,NA,NA,"Yes","40","48",NA,"2",4,10,2,9,720,6,360,NA
"29",NA,"Uvaria puguensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",5194772,2006-03-02,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"25",NA,"1",4,10,2,9,720,6,360,NA
"30",NA,"Aloe dorotheae","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ASPHODELACEAE",5195945,2006-10-31,"CR","3.1","B2ab(v)","B2ab(v)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","20",NA,NA,"1",4,10,2,9,720,6,360,NA
"31",NA,"Amanipodagrion gilliesi","ARTHROPODA","INSECTA","ODONATA","MEGAPODAGRIONIDAE",13100344,2008-08-21,"CR","3.1","B1ab(iii)+2ab(iii); C2a(ii)","B1ab(iii)+2ab(iii); C2a(ii)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,2,9,720,6,360,NA
"32","Wendy's Forest Toad","Nectophrynoides wendyae","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",13322540,2014-12-12,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes",NA,"15",NA,"1",4,10,2,9,720,6,360,NA
"33","Poynton's Forest Toad","Nectophrynoides poyntoni","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",13323022,2014-07-25,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,"Yes","2.34","2.34",NA,"1",4,10,2,9,720,6,360,NA
"34","Williams' Dwarf Gecko","Lygodactylus williamsi","CHORDATA","REPTILIA","SQUAMATA","GEKKONIDAE",14665385,2012-02-22,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","8","20",NA,"1",4,10,2,9,720,6,360,NA
"35","Tanners' Reed Frog","Hyperolius tanneri","CHORDATA","AMPHIBIA","ANURA","HYPEROLIIDAE",17191268,2014-07-25,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","5","56",NA,"1",4,10,2,9,720,6,360,NA
"36",NA,"Oreochromis chungruruensis","CHORDATA","ACTINOPTERYGII","CICHLIFORMES","CICHLIDAE",47204093,2018-05-22,"CR","3.1","B1ab(v)+2ab(v)","B1ab(v)+2ab(v)",1,"Decreasing","Yes","Unknown",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,6,360,NA
"37",NA,"Nothobranchius steinforti","CHORDATA","ACTINOPTERYGII","CYPRINODONTIFORMES","NOTHOBRANCHIIDAE",47240724,2019-01-12,"CR","3.1","B2ab(iii,iv)","B2ab(iii,iv)",1,"Unknown",NA,"Yes",NA,NA,NA,"Yes",NA,"8",NA,NA,"1",4,10,2,9,720,6,360,NA
"38",NA,"Chlorophytum rhizopendulum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ASPARAGACEAE",47348701,2013-03-20,"CR","3.1","B2ab(ii,iii,v)","B2ab(ii,iii,v)",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,"Yes","9.98",NA,NA,"1",4,10,2,9,720,6,360,NA
"39",NA,"Asystasia masaiensis","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",48154189,2014-01-06,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,"Yes","9.9856",NA,NA,"1",4,10,2,9,720,6,360,NA
"40",NA,"Justicia callopsoidea","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",48154813,2014-01-09,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes","Unknown",NA,"Unknown",NA,"Yes","9.9856",NA,NA,"1",4,10,2,9,720,6,360,NA
"41",NA,"Stenandriopsis grandiflora","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",48155113,2014-11-05,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4",NA,NA,"1",4,10,2,9,720,6,360,NA
