"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Haddleton Lampmussel","Obovaria haddletoni","MOLLUSCA","BIVALVIA","UNIONIDA","UNIONIDAE",502298,2012-04-11,"CR","3.1","A2ac","A2ac",1,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0-0","1",4,10,10,10,4000,1,400,NA
"2","Maui Hesperomannia","Hesperomannia arbuscula","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE",9826564,2003-04-30,"CR","3.1","A2ac; B1ab(iii,v); C1+2a(i); D","A2ac; B1ab(iii,v); C1+2a(i); D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"3",NA,"Pritchardia munroi","TRACHEOPHYTA","LILIOPSIDA","ARECALES","ARECACEAE",10141788,1998-01-01,"CR","2.3","A2ce, D","A3ce;D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"4",NA,"Pritchardia schattaueri","TRACHEOPHYTA","LILIOPSIDA","ARECALES","ARECACEAE",10141962,1998-01-01,"CR","2.3","A1ce+2ce, B1+2abcde, D","A2c(,)e(,);B1ab(i,ii,iii,v);D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"5",NA,"Acanthothecis paucispora","ASCOMYCOTA","LECANOROMYCETES","OSTROPALES","GRAPHIDACEAE",80702775,2017-08-31,"CR","3.1","A3c; B2ab(i,ii,iii,iv); C2a(i); D","A3c; B2ab(i,ii,iii,iv); C2a(i); D",1,"Stable","Yes","Yes",NA,"Yes","Yes","Yes","Yes","8.0",NA,"49","2",4,10,10,10,4000,1,400,NA
"6","Alabama Sturgeon","Scaphirhynchus suttkusi","CHORDATA","ACTINOPTERYGII","ACIPENSERIFORMES","ACIPENSERIDAE",81759618,2019-09-09,"CR","3.1","A2bce; C2a(i,ii); D","A2bce; C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown",NA,"Yes","Yes","Yes","1048",NA,"10",NA,4,10,10,10,4000,1,400,NA
"7",NA,"Stenogyne campanulata","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE",115508926,2016-02-11,"CR","3.1","A2a; B1ab(iii)+2ab(iii); D","A2a; B1ab(iii)+2ab(iii); D",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","0","0","0","0",4,10,10,10,4000,1,400,NA
"8","Timucua Lettuce Basidiolichen","Cora timucua","BASIDIOMYCOTA","AGARICOMYCETES","AGARICALES","HYGROPHORACEAE",175712343,2020-06-30,"CR","3.1","A2c; B1ab(iii)+2ab(iii); D","A2c; B1ab(iii)+2ab(iii); D",1,"Decreasing","Unknown","Yes","Unknown","Unknown","Unknown",NA,"Yes","0-12","0-73","0-49","0-3",4,10,10,10,4000,1,400,NA
"9","Georgia Pigtoe","Pleurobema hanleyianum","MOLLUSCA","BIVALVIA","UNIONIDA","UNIONIDAE",1450114,2012-03-30,"CR","3.1","A2ac","A2ac",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"0-100",NA,"2-5",4,10,10,9,3600,9,400,NA
"10","Pale Lilliput","Toxolasma cylindrellus","MOLLUSCA","BIVALVIA","UNIONIDA","UNIONIDAE",2781049,2012-06-07,"CR","3.1","A2ace; B1ab(i,ii,iii,iv)","A2ace; B1ab(i,ii,iii,iv)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,"1",4,10,10,9,3600,9,400,NA
"11",NA,"Partulina confusa","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ACHATINELLIDAE",5610019,1996-08-01,"CR","2.3","A1ce, B1+2abcde","A2ce;B1ab(i,ii,iii,v)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,9,400,NA
"12",NA,"Partulina dubia","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ACHATINELLIDAE",5618610,1996-08-01,"CR","2.3","A1ce, B1+2abcde","A2ce;B1ab(i,ii,iii,v)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,9,400,NA
"13","Cumberland Pigtoe","Pleurobema gibberum","MOLLUSCA","BIVALVIA","UNIONIDA","UNIONIDAE",7312682,1996-08-01,"CR","2.3","A1ce+2ce, B1+2c","A2c(,)e(,);B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,9,400,NA
"14",NA,"Pritchardia limahuliensis","TRACHEOPHYTA","LILIOPSIDA","ARECALES","ARECACEAE",10147180,1998-01-01,"CR","2.3","A1ce+2ce, B1+2abcde, C1","A2c(,)e(,);B1ab(i,ii,iii,v);C1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,9,400,NA
