"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Vietnamese Paphiopedilum","Paphiopedilum vietnamense","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43328029,2014-11-13,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","Possibly Extinct","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","10","0-50","1",4,10,10,10,4000,1,400,NA
"2","Vietnamese Pond Turtle","Mauremys annamensis","CHORDATA","REPTILIA","TESTUDINES","GEOEMYDIDAE",182354172,2018-03-14,"CR","3.1","A2bcd+4bcd; B2ab(i,ii,iii,iv,v); D","A2bcd+4bcd; B2ab(i,ii,iii,iv,v); D","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,"Yes","4-10","12500","0-100, 50","1",4,10,10,10,4000,1,400,NA
"3",NA,"Sewellia albisuera","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","GASTROMYZONTIDAE",8638768,2010-09-04,"CR","3.1","A2c+3c; B1b(i,ii)","A2c+3c; B1b(i,ii)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"1",4,10,10,9,3600,3,400,NA
"4","Tonkin Snub-nosed Monkey","Rhinopithecus avunculus","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE",17944213,2015-11-21,"CR","3.1","A2acd+3cd; C1+2a(i)","A2acd+3cd; C1+2a(i)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,"Yes","No",NA,"24364","80-100",NA,4,10,10,9,3600,3,400,NA
"5","chân voi-chân voi","Cycas pachypoda","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",69153836,2021-08-10,"CR","3.1","A4acd","A4acd","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"50","2500-10000","2",4,10,10,9,3600,3,400,NA
"6","Chai la cong","Shorea falcata","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",2836611,2018-01-08,"CR","3.1","A2cd; C1+2a(i)","A2cd; C1+2a(i)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes",NA,NA,NA,NA,NA,"100-2500","1-3",4,10,8,8,2560,6,320,NA
"7",NA,"Paphiopedilum canhii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",2009477,2014-01-06,"CR","3.1","A2acd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i,ii); D","A2acd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i,ii); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes","4","4","10","1",4,10,5,10,2000,7,400,NA
"8",NA,"Schistura spiloptera","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","NEMACHEILIDAE",8639887,2010-09-04,"CR","3.1","A2e; B1ab(i,ii,iv)","A2e; B1ab(i,ii,iv)","Extant","Native",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,"1",4,10,5,9,1800,8,360,NA
"9",NA,"Cycas fugax","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",68901336,2021-03-30,"CR","3.1","A2cd; B1ab(i,ii,iii,v)","A2cd; B1ab(i,ii,iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes",NA,"90-100",NA,"2",4,10,5,9,1800,8,360,NA
"10","Trai Cóc Bầu Dục","Lamprotula liedtkei","MOLLUSCA","BIVALVIA","UNIONIDA","UNIONIDAE",176539094,2010-11-14,"CR","3.1","A2c","A2c","Possibly Extinct","Native",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"20","90",NA,"2",4,10,5,9,1800,8,360,NA
"11","Delacour's Langur","Trachypithecus delacouri","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE",17958988,2015-11-21,"CR","3.1","A2cd; C2a(i)","A2cd; C2a(i)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Unknown","Yes","Yes","No","250-300","7486","240-250",NA,4,10,5,8,1600,11,320,NA
"12","Cao-vit Gibbon","Nomascus nasutus","CHORDATA","MAMMALIA","PRIMATES","HYLOBATIDAE",17969578,2015-11-20,"CR","3.1","A2cd; C1+2a(i,ii); D","A2cd; C1+2a(i,ii); D","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,NA,"45-47",NA,4,5,8,10,1600,11,200,NA
"13","Saola","Pseudoryx nghetinhensis","CHORDATA","MAMMALIA","ARTIODACTYLA","BOVIDAE",166485696,2015-11-27,"CR","3.1","A2acd+3cd+4acd; C2a(i)","A2acd+3cd+4acd; C2a(i)","Extant","Native",2,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","10-5000",NA,"25-750, 50-300","5-15",4,5,10,8,1600,11,200,NA
"14","Ellen's Paphiopedilum","Paphiopedilum helenae","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",2000854,2014-02-03,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i); D","Extant","Native",3,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes",NA,"8","8","50","1",4,3.33333333333333,10,10,1333.33333333333,14,133.333333333333,NA
"15","Tran's Paphiopedilum","Paphiopedilum tranlienianum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",2003318,2014-03-17,"CR","3.1","A2acd+3cd+4acd; C1+2a(i); D","A2acd+3cd+4acd; C1+2a(i); D","Extant","Native",3,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","Yes","12","4000","1-50","3",4,3.33333333333333,10,10,1333.33333333333,14,133.333333333333,NA
"16","Butterfly Loach","Sewellia breviventralis","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","GASTROMYZONTIDAE",8640365,2010-09-04,"CR","3.1","A2ac","A2ac","Extant","Native",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,"3000-5000",NA,"1",4,10,5,6,1200,16,240,NA
"17","Southern White-cheeked Gibbon","Nomascus siki","CHORDATA","MAMMALIA","PRIMATES","HYLOBATIDAE",17968765,2015-11-20,"CR","3.1","A4cd","A4cd","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,"No",NA,NA,"600",NA,4,5,10,6,1200,16,200,NA
"18",NA,"Cycas collina","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",67340335,2020-11-04,"CR","3.1","A2ace+4ace","A2ace+4ace","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"2000-2500",NA,NA,4,10,10,3,1200,16,400,NA
"19","dujuetie","Cycas multipinnata","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",68906269,2020-04-09,"CR","3.1","A2acd+4acd","A2acd+4acd","Extant","Native",3,"Decreasing","Yes","Yes",NA,NA,NA,"Yes",NA,"36","4233","150-250","3",4,3.33333333333333,10,8,1066.66666666667,19,133.333333333333,NA
"20","Giant Ibis","Thaumatibis gigantea","CHORDATA","AVES","PELECANIFORMES","THRESKIORNITHIDAE",134200680,2018-08-18,"CR","3.1","A2cd+3cd+4cd; C2a(i)","A2cd+3cd+4cd; C2a(i)","Extant","Native",3,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"120000","194",NA,4,3.33333333333333,10,8,1066.66666666667,19,133.333333333333,NA
