"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Dombeya dolichophylla","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",137900668,2020-04-29,"VU","3.1","B1ab(i,ii,iv,v)+2ab(i,ii,iv,v)","B1ab(i,ii,iv,v)+2ab(i,ii,iv,v)",0,"Decreasing","Yes",NA,NA,"Yes","Yes","Yes","No","40","19702",NA,"8",1,Inf,2,3,Inf,1,Inf,NA
"2","Venda Cycad","Encephalartos hirsutus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",51056445,2020-04-24,"CR","3.1","A2ad; B2ab(v); C1+2a(i,ii); D","A2ad; B2ab(v); C1+2a(i,ii); D",1,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes","0",NA,"0-10","0",4,10,10,10,4000,2,400,NA
"3","Lydenburg Cycad","Encephalartos inopinus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",51057232,2020-05-07,"CR","3.1","A2ad+4ad; B1ab(v)+2ab(v); C2a(i,ii); D","A2ad+4ad; B1ab(v)+2ab(v); C2a(i,ii); D",1,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes","4","4","1","1",4,10,10,10,4000,2,400,NA
"4","Sicilian Fir","Abies nebrodensis","TRACHEOPHYTA","PINOPSIDA","PINALES","PINACEAE",91164876,2016-03-15,"CR","3.1","A2cd; D","A2cd; D",1,"Increasing","No","No","No","No","No","No","Yes","4","4","25","1",4,10,10,10,4000,2,400,NA
"5",NA,"Vatica flavida","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",123359825,2018-08-01,"CR","3.1","A2bc; B1ab(iii); D","A2bc; B1ab(iii); D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","16","16","0-30","1-2",4,10,10,10,4000,2,400,NA
"6",NA,"Dipterocarpus cinereus","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",125628179,2019-10-24,"CR","3.1","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D",1,"Decreasing","Yes",NA,NA,"Yes","Yes",NA,NA,"28","42.015","30","1",4,10,10,10,4000,2,400,NA
"7",NA,"Hopea bancana","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",125628426,2019-02-14,"CR","3.1","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D",1,"Decreasing","Yes",NA,NA,"Yes","Yes",NA,NA,"16","16","9","1",4,10,10,10,4000,2,400,NA
"8",NA,"Vatica soepadmoi","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",125628953,2020-03-18,"CR","3.1","A2c; B1ab(i,ii,iii); D","A2c; B1ab(i,ii,iii); D",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"16","16","5-30","1",4,10,10,10,4000,2,400,NA
"9","Mulanje Cedarwood","Widdringtonia whytei","TRACHEOPHYTA","PINOPSIDA","PINALES","CUPRESSACEAE",126090798,2019-08-01,"CR","3.1","A2acde; C1; D","A2acde; C1; D",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"24","121.174","49","1",4,10,10,10,4000,2,400,NA
"10","Morrisby's Gum","Eucalyptus morrisbyi","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",133031902,2019-03-19,"CR","3.1","A2a; C1+2a(i); D","A2a; C1+2a(i); D",1,"Decreasing","Yes",NA,"Yes",NA,NA,"Yes","Yes","76","283.4","7-29","1",4,10,10,10,4000,2,400,NA
"11",NA,"Amphitecna loreae","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","BIGNONIACEAE",163440814,2019-12-06,"CR","3.1","A2ac; B1ab(i,iii); D","A2ac; B1ab(i,iii); D",1,"Decreasing",NA,"Yes",NA,"Yes",NA,NA,NA,"4-100","4-100","49","1",4,10,10,10,4000,2,400,NA
"12",NA,"Cycas chamaoensis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",243415795,2020-11-20,"CR","3.1","A2ad; B1ab(i,ii,iv,v); C2a(i); D","A2ad; B1ab(i,ii,iv,v); C2a(i); D",1,"Decreasing","Yes","Unknown",NA,"Yes","Yes","Yes","Yes",NA,"10-20","1-50","1",4,10,10,10,4000,2,400,NA
"13",NA,"Diospyros brainii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","EBENACEAE",1387970,2020-08-13,"CR","3.1","A2c","A2c",1,"Decreasing","Yes","Yes",NA,"Unknown","Yes",NA,"Yes","8","8-90",NA,"1",4,10,10,9,3600,13,400,NA
"14",NA,"Vatica yeechongii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",50778606,2018-08-01,"CR","3.1","A4c","A4c",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","8",NA,"80","2",4,10,10,9,3600,13,400,NA
"15",NA,"Brachystegia oblonga","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",62494201,2014-07-02,"CR","3.1","A2acd; B1ab(ii,iii,v)+2ab(ii,iii,v)","A2acd; B1ab(ii,iii,v)+2ab(ii,iii,v)",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,NA,"9","82",NA,"1-2",4,10,10,9,3600,13,400,NA
"16",NA,"Cycas pachypoda","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",69153836,2021-08-10,"CR","3.1","A4acd","A4acd",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"50","2500-10000","2",4,10,10,9,3600,13,400,NA
"17","Northern Haiti Magnolia","Magnolia emarginata","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","MAGNOLIACEAE",121364062,2022-08-26,"CR","3.1","A2ac; B2ab(ii,iii)","A2ac; B2ab(ii,iii)",1,"Decreasing","Unknown","Yes",NA,NA,"Yes","Unknown","Yes","4-8,4",NA,NA,"1-2",4,10,10,9,3600,13,400,NA
"18",NA,"Anisophyllea impressinervia","TRACHEOPHYTA","MAGNOLIOPSIDA","CUCURBITALES","ANISOPHYLLEACEAE",136325389,2018-01-17,"CR","3.1","A2c; B1ab(i,ii,iii)+2ab(i,ii,iii)","A2c; B1ab(i,ii,iii)+2ab(i,ii,iii)",1,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,"Yes","4","4",NA,"1",4,10,10,9,3600,13,400,NA
"19",NA,"Prockiopsis razakamalalae","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","ACHARIACEAE",137904128,2020-02-12,"CR","3.1","A3c; B2ab(iii)","A3c; B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,10,9,3600,13,400,NA
"20",NA,"Semecarpus euodiifolius","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","ANACARDIACEAE",162033277,2019-06-12,"CR","3.1","A2c","A2c",1,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,NA,"8","8",NA,"2",4,10,10,9,3600,13,400,NA
"21",NA,"Mitrephora woodii","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",162033332,2019-12-09,"CR","3.1","A2c","A2c",1,"Stable",NA,"Unknown",NA,NA,NA,NA,NA,"12","37.384",NA,"2",4,10,10,9,3600,13,400,NA
"22",NA,"Microcos kinabaluensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",162033774,2020-11-17,"CR","3.1","A2c","A2c",1,"Stable",NA,NA,NA,NA,NA,NA,"No","8","8",NA,NA,4,10,10,9,3600,13,400,NA
"23",NA,"Clitoria andrei","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",173543082,2004-04-30,"CR","3.1","A4c; B1ab(iii)","A4c; B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,13,400,NA
