"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Croton vaughanii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE",9559936,1998-01-01,"CR","2.3","A1c, B1+2e, C2ab, D","A2c;B1ab(v);C2a(i,ii);D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"2",NA,"Kayea stylosa","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","CALOPHYLLACEAE",9578002,1998-01-01,"CR","2.3","A1c, B1+2c, D","A2c;B1ab(iii);D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"3",NA,"Albizia vaughanii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",9787452,2000-06-30,"CR","2.3","A1ae, B1+2abce, C1+2a, D","A2ae;B1ab(i,ii,iii,v);C1+2a(i);D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"4","Maui Hesperomannia","Hesperomannia arbuscula","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE",9826564,2003-04-30,"CR","3.1","A2ac; B1ab(iii,v); C1+2a(i); D","A2ac; B1ab(iii,v); C1+2a(i); D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"5",NA,"Pritchardia munroi","TRACHEOPHYTA","LILIOPSIDA","ARECALES","ARECACEAE",10141788,1998-01-01,"CR","2.3","A2ce, D","A3ce;D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"6",NA,"Pritchardia schattaueri","TRACHEOPHYTA","LILIOPSIDA","ARECALES","ARECACEAE",10141962,1998-01-01,"CR","2.3","A1ce+2ce, B1+2abcde, D","A2c(,)e(,);B1ab(i,ii,iii,v);D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"7",NA,"Tectiphiala ferox","TRACHEOPHYTA","LILIOPSIDA","ARECALES","ARECACEAE",10143781,1998-01-01,"CR","2.3","A1ac+2ce, B1+2e, C1+2ab, D","A2ac(,)e;B1ab(v);C1+2a(i,ii);D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"8",NA,"Scalesia atractyloides","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE",10145994,2000-01-01,"CR","2.3","A1ace, B1+2bcde, C2a, D","A2ace;B1ab(ii,iii,iv,v);C2a(i);D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,1,400,NA
"9",NA,"Timonius salsedoi","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",178327350,2023-07-17,"CR","3.1","A2a+4a; D","A2a+4a; D",1,"Unknown",NA,NA,NA,NA,NA,NA,NA,"0-4","0-4","0-2","0-1",4,10,10,10,4000,1,400,NA
"10",NA,"Casearia mauritiana","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE",9562770,1998-01-01,"CR","2.3","A1ce, B1+2ce","A2ce;B1ab(iii,v)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,10,400,NA
"11",NA,"Paulownia kawakamii","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","PAULOWNIACEAE",9628559,1998-01-01,"CR","2.3","A1ace, B1+2abc, C2ab","A2ace;B1ab(i,ii,iii);C2a(i,ii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,10,400,NA
"12",NA,"Polyscias paniculata","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","ARALIACEAE",9718852,2000-01-01,"CR","2.3","A1ce, B1+2ace, C1","A2ce;B1ab(i,iii,v);C1",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,10,400,NA
"13",NA,"Dactyladenia dichotoma","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","CHRYSOBALANACEAE",9722949,1998-01-01,"CR","2.3","A1c, B1+2c","A2c;B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,10,400,NA
