"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Elephantorrhiza rangei","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",11082391,2004-04-30,"EN","3.1","B1ab(iii)","B1ab(iii)",0,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Inf,1,3,Inf,1,Inf,NA
"2",NA,"Tinadendron noumeanum","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",7472224,2007-05-15,"CR","3.1","A2ce; C2a(i,ii); D","A2ce; C2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","0.38","0.38","20-50","2",4,10,10,10,4000,2,400,NA
"3",NA,"Seychellea sechellarum","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",8843195,2007-02-01,"CR","3.1","A2c; B1ab(v); C2a(i); D","A2c; B1ab(v); C2a(i); D",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,"33","50","2",4,10,10,10,4000,2,400,NA
"4",NA,"Oxyanthus okuensis","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",10293983,2000-06-30,"CR","2.3","A1c, B1+2b, C2a, D","A2c;B1ab(ii);C2a(i);D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,2,400,NA
"5",NA,"Connarus ecuadorensis","TRACHEOPHYTA","MAGNOLIOPSIDA","OXALIDALES","CONNARACEAE",10981637,2004-04-30,"CR","3.1","A4c; B1ab(iii); D","A4c; B1ab(iii); D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,2,400,NA
"6","Rosemary","Phylica polifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","RHAMNACEAE",67372313,2015-07-28,"CR","3.1","A2a; B1ab(v)+2ab(v); C1+2a(i); D","A2a; B1ab(v)+2ab(v); C1+2a(i); D",1,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes","12","12","35","3",4,10,10,10,4000,2,400,NA
"7","Dogwood","Nesohedyotis arborea","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",67379194,2015-07-28,"CR","3.1","A2a; B1ab(iii,v)+2ab(iii,v); C1+2a(i); D","A2a; B1ab(iii,v)+2ab(iii,v); C1+2a(i); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","8","8","47","2",4,10,10,10,4000,2,400,NA
"8",NA,"Myrcia abbotiana","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",115030869,2018-01-10,"CR","3.1","A2c; C1+2a(i); D","A2c; C1+2a(i); D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"24","550","32-37","1-3",4,10,10,10,4000,2,400,NA
"9",NA,"Ateleia truncata","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",152759924,2019-06-25,"CR","3.1","A4ac; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i,ii); D","A4ac; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"4","4-100","49","1",4,10,10,10,4000,2,400,NA
"10",NA,"Saurauia bogoriensis","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","ACTINIDIACEAE",164372711,2019-10-24,"CR","3.1","A2c; D","A2c; D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","1",4,10,10,10,4000,2,400,NA
"11",NA,"Mortoniodendron uxpanapense","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",173847915,2020-05-14,"CR","3.1","A2ac; B1ab(iii); D","A2ac; B1ab(iii); D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"99","49","1",4,10,10,10,4000,2,400,NA
"12",NA,"Axinaea flava","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",204909768,2021-07-20,"CR","3.1","A2a; B1ab(iii,v)+2ab(iii,v); C1+2a(i,ii); D","A2a; B1ab(iii,v)+2ab(iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"8","2.23-8","10","1",4,10,10,10,4000,2,400,NA
"13",NA,"Madhuca balakrishnanii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","SAPOTACEAE",225970391,2022-01-31,"CR","3.1","A2c; B1ab(iii)+2ab(iii); D","A2c; B1ab(iii)+2ab(iii); D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4","3","1",4,10,10,10,4000,2,400,NA
"14",NA,"Ochrosia inventorum","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE",7469213,2007-05-15,"CR","3.1","A2ce; B1ab(iii)+2ab(iii)","A2ce; B1ab(iii)+2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","0.58","0.58",NA,"1",4,10,10,9,3600,14,400,NA
"15","Bermuda Juniper","Juniperus bermudiana","TRACHEOPHYTA","PINOPSIDA","PINALES","CUPRESSACEAE",9532928,2010-08-05,"CR","3.1","A2ace","A2ace",1,"Increasing","No","Yes",NA,NA,NA,NA,"No",NA,"57",NA,NA,4,10,10,9,3600,14,400,NA
"16",NA,"Cadaba insularis","TRACHEOPHYTA","MAGNOLIOPSIDA","BRASSICALES","CAPPARACEAE",10950634,2004-04-30,"CR","3.1","A2acd; B2ab(iii)","A2acd; B2ab(iii)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,14,400,NA
"17",NA,"Clavija parvula","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",11042311,2004-04-30,"CR","3.1","A4c; B1ab(iii)","A4c; B1ab(iii)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,9,3600,14,400,NA
"18",NA,"Vatica yeechongii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",50778606,2018-08-01,"CR","3.1","A4c","A4c",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","8",NA,"80","2",4,10,10,9,3600,14,400,NA
"19","Northern Haiti Magnolia","Magnolia emarginata","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","MAGNOLIACEAE",121364062,2022-08-26,"CR","3.1","A2ac; B2ab(ii,iii)","A2ac; B2ab(ii,iii)",1,"Decreasing","Unknown","Yes",NA,NA,"Yes","Unknown","Yes","4-8,4",NA,NA,"1-2",4,10,10,9,3600,14,400,NA
"20",NA,"Memecylon incisilobum","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",125331050,2015-12-03,"CR","3.1","A3c; B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(ii)","A3c; B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(ii)",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes",NA,"Yes","4","4","50-249","1",4,10,10,9,3600,14,400,NA
"21",NA,"Capparidastrum tuxtlense","TRACHEOPHYTA","MAGNOLIOPSIDA","BRASSICALES","CAPPARACEAE",126300621,2020-02-25,"CR","3.1","A2c; B1ab(i,ii,iii,v)","A2c; B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"32","32","499","1",4,10,10,9,3600,14,400,NA
