"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Panamanian Golden Frog","Atelopus zeteki","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",54341110,2018-05-23,"CR","3.1","A2acde; D","A2acde; D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"0-49","0",4,10,10,10,4000,1,400,NA
"2","Corroboree Frog","Pseudophryne corroboree","CHORDATA","AMPHIBIA","ANURA","MYOBATRACHIDAE",78432063,2022-03-29,"CR","3.1","A2ace; B1ab(iii,v); D","A2ace; B1ab(iii,v); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"36","45","4-50","1",4,10,10,10,4000,1,400,NA
"3","Longnose Harlequin Frog","Atelopus longirostris","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",98641996,2020-09-28,"CR","3.1","A3c; B1ab(iii,v)+2ab(iii,v); C2a(i,ii); D","A3c; B1ab(iii,v)+2ab(iii,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","10.59","1-49","1",4,10,10,10,4000,1,400,NA
"4","Rio Negro Rocket Frog","Hyloxalus marmoreoventris","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE",98645861,2020-10-09,"CR","3.1","A4c; D","A4c; D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"0-49",NA,4,10,10,10,4000,1,400,NA
"5","Sehuencas Water Frog","Telmatobius yuracare","CHORDATA","AMPHIBIA","ANURA","TELMATOBIIDAE",154335458,2019-09-25,"CR","3.1","A2ace; C2a(i,ii); D","A2ace; C2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"98","49",NA,4,10,10,10,4000,1,400,NA
"6",NA,"Telmatobius mendelsoni","CHORDATA","AMPHIBIA","ANURA","TELMATOBIIDAE",254215789,2017-04-21,"CR","3.1","A2ae; D","A2ae; D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"2626.7","0-49","2",4,10,10,10,4000,1,400,NA
"7","Hispaniolan Crowned Frog","Eleutherodactylus corona","CHORDATA","AMPHIBIA","ANURA","ELEUTHERODACTYLIDAE",3041860,2020-09-22,"CR","3.1","A4ac; B1ab(iii)","A4ac; B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"46.6",NA,"1",4,10,10,9,3600,7,400,NA
"8","Haitian Ventriloquial Frog","Eleutherodactylus dolomedes","CHORDATA","AMPHIBIA","ANURA","ELEUTHERODACTYLIDAE",3042811,2020-09-22,"CR","3.1","A4ac; B1ab(iii,v)+2ab(iii,v)","A4ac; B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","11.4",NA,"1",4,10,10,9,3600,7,400,NA
"9","Port-de-Paix Frog","Eleutherodactylus rhodesi","CHORDATA","AMPHIBIA","ANURA","ELEUTHERODACTYLIDAE",3052745,2021-01-25,"CR","3.1","A4c; B1ab(iii,v)","A4c; B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"95.4",NA,"1",4,10,10,9,3600,7,400,NA
"10","La Hotte Striped-legged Frog","Eleutherodactylus sciagraphus","CHORDATA","AMPHIBIA","ANURA","ELEUTHERODACTYLIDAE",3053579,2021-01-25,"CR","3.1","A4c; B1ab(iii)","A4c; B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"64.08",NA,"1",4,10,10,9,3600,7,400,NA
"11","Macaya Breast-spotted Frog","Eleutherodactylus thorectes","CHORDATA","AMPHIBIA","ANURA","ELEUTHERODACTYLIDAE",3054028,2020-09-22,"CR","3.1","A4ac; B1ab(iii)","A4ac; B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"86.7",NA,NA,4,10,10,9,3600,7,400,NA
