"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Fatu Hiva Monarch","Pomarea whitneyi","CHORDATA","AVES","PASSERIFORMES","MONARCHIDAE",155462058,2018-08-07,"CR","3.1","A2be+4be; B1ab(ii,v); C2a(i,ii); D","A2be+4be; B1ab(ii,v); C2a(i,ii); D",1,"Decreasing","Yes","No","Unknown","Unknown","Yes","Unknown","Yes",NA,"15","33","1",4,10,10,10,4000,1,400,NA
"2","Belem Curassow","Crax pinima","CHORDATA","AVES","GALLIFORMES","CRACIDAE",161578179,2023-09-20,"CR","3.1","A3cd+4cd; C2a(i); D","A3cd+4cd; C2a(i); D",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","Yes",NA,"44000","10-49","3-5",4,10,10,10,4000,1,400,NA
"3","Imperial Amazon","Amazona imperialis","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",179471135,2021-07-19,"CR","3.1","A4acd; C1+2a(i,ii); D","A4acd; C1+2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","240","240","40-60","1",4,10,10,10,4000,1,400,NA
"4","Southern Red-breasted Plover","Charadrius obscurus","CHORDATA","AVES","CHARADRIIFORMES","CHARADRIIDAE",126893184,2017-10-01,"CR","3.1","A4a; C1+2a(ii)","A4a; C1+2a(ii)",1,"Decreasing","Yes","Unknown","Yes","Yes","Yes","Yes","No",NA,"2200","60-80","11-100",4,10,10,9,3600,4,400,NA
"5","Akekee","Loxops caeruleirostris","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE",130851810,2018-08-07,"CR","3.1","A3ce+4ace","A3ce+4ace",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes",NA,"5","310-1000","2",4,10,10,9,3600,4,400,NA
"6","Chatham Islands Shag","Leucocarbo onslowi","CHORDATA","AVES","SULIFORMES","PHALACROCORACIDAE",131116322,2018-08-09,"CR","3.1","A2bcde+3bcde+4bcde","A2bcde+3bcde+4bcde",1,"Decreasing","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","1","8600","710","2",4,10,10,9,3600,4,400,NA
"7","Balearic Shearwater","Puffinus mauretanicus","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE",132658315,2018-08-07,"CR","3.1","A4bcde","A4bcde",1,"Decreasing","Yes","No","Yes","Unknown","No","Unknown","No","9","7120000","19000","11-100",4,10,10,9,3600,4,400,NA
"8","Mariana Crow","Corvus kubaryi","CHORDATA","AVES","PASSERIFORMES","CORVIDAE",129626293,2018-08-07,"CR","3.1","A2bcde+3bcde+4bcde; C2a(ii)","A2bcde+3bcde+4bcde; C2a(ii)",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes",NA,"120","50-249","1",4,10,10,8,3200,8,400,NA
"9","Santa Marta Wren","Troglodytes monticola","CHORDATA","AVES","PASSERIFORMES","TROGLODYTIDAE",130790240,2018-08-07,"CR","3.1","A3c+4c; C2a(i,ii)","A3c+4c; C2a(i,ii)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","No",NA,"1800","50-249","1",4,10,10,8,3200,8,400,NA
"10","Great Indian Bustard","Ardeotis nigriceps","CHORDATA","AVES","OTIDIFORMES","OTIDIDAE",134188105,2018-08-17,"CR","3.1","A2a+4acd; C1","A2a+4acd; C1",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","No",NA,"12500000","50-249","11-100",4,10,10,8,3200,8,400,NA
"11","Giant Ibis","Thaumatibis gigantea","CHORDATA","AVES","PELECANIFORMES","THRESKIORNITHIDAE",134200680,2018-08-18,"CR","3.1","A2cd+3cd+4cd; C2a(i)","A2cd+3cd+4cd; C2a(i)",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"120000","194",NA,4,10,10,8,3200,8,400,NA
"12","Baer's Pochard","Aythya baeri","CHORDATA","AVES","ANSERIFORMES","ANATIDAE",154436811,2019-08-15,"CR","3.1","A2cd+3cd+4cd; C2a(ii)","A2cd+3cd+4cd; C2a(ii)",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No",NA,"2270000","150-700","11-100",4,10,10,8,3200,8,400,NA
"13","Liben Lark","Heteromirafra archeri","CHORDATA","AVES","PASSERIFORMES","ALAUDIDAE",177883983,2020-06-24,"CR","3.1","A3bc; C1+2a(i)","A3bc; C1+2a(i)",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No","224","6000","50-249","2",4,10,10,8,3200,8,400,NA
