"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Vietnam Pheasant","Lophura edwardsi","CHORDATA","AVES","GALLIFORMES","PHASIANIDAE",249120158,2024-07-01,"CR","3.1","D","D",0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"0-6000","0-49",NA,4,Inf,0.5,10,Inf,1,Inf,NA
"2","Fatu Hiva Monarch","Pomarea whitneyi","CHORDATA","AVES","PASSERIFORMES","MONARCHIDAE",155462058,2018-08-07,"CR","3.1","A2be+4be; B1ab(ii,v); C2a(i,ii); D","A2be+4be; B1ab(ii,v); C2a(i,ii); D",1,"Decreasing","Yes","No","Unknown","Unknown","Yes","Unknown","Yes",NA,"15","33","1",4,10,10,10,4000,2,400,NA
"3","Belem Curassow","Crax pinima","CHORDATA","AVES","GALLIFORMES","CRACIDAE",161578179,2023-09-20,"CR","3.1","A3cd+4cd; C2a(i); D","A3cd+4cd; C2a(i); D",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","Yes",NA,"44000","10-49","3-5",4,10,10,10,4000,2,400,NA
"4","Imperial Amazon","Amazona imperialis","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",179471135,2021-07-19,"CR","3.1","A4acd; C1+2a(i,ii); D","A4acd; C1+2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","240","240","40-60","1",4,10,10,10,4000,2,400,NA
"5","Southern Red-breasted Plover","Charadrius obscurus","CHORDATA","AVES","CHARADRIIFORMES","CHARADRIIDAE",126893184,2017-10-01,"CR","3.1","A4a; C1+2a(ii)","A4a; C1+2a(ii)",1,"Decreasing","Yes","Unknown","Yes","Yes","Yes","Yes","No",NA,"2200","60-80","11-100",4,10,10,9,3600,5,400,NA
"6","Akekee","Loxops caeruleirostris","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE",130851810,2018-08-07,"CR","3.1","A3ce+4ace","A3ce+4ace",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes",NA,"5","310-1000","2",4,10,10,9,3600,5,400,NA
"7","Chatham Islands Shag","Leucocarbo onslowi","CHORDATA","AVES","SULIFORMES","PHALACROCORACIDAE",131116322,2018-08-09,"CR","3.1","A2bcde+3bcde+4bcde","A2bcde+3bcde+4bcde",1,"Decreasing","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","1","8600","710","2",4,10,10,9,3600,5,400,NA
"8","Mariana Crow","Corvus kubaryi","CHORDATA","AVES","PASSERIFORMES","CORVIDAE",129626293,2018-08-07,"CR","3.1","A2bcde+3bcde+4bcde; C2a(ii)","A2bcde+3bcde+4bcde; C2a(ii)",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes",NA,"120","50-249","1",4,10,10,8,3200,8,400,NA
"9","Santa Marta Wren","Troglodytes monticola","CHORDATA","AVES","PASSERIFORMES","TROGLODYTIDAE",130790240,2018-08-07,"CR","3.1","A3c+4c; C2a(i,ii)","A3c+4c; C2a(i,ii)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","No",NA,"1800","50-249","1",4,10,10,8,3200,8,400,NA
"10","Nias Hill Myna","Gracula robusta","CHORDATA","AVES","PASSERIFORMES","STURNIDAE",182272272,2020-08-18,"CR","3.1","A2bd+3d+4bd; C2a(ii)","A2bd+3d+4bd; C2a(ii)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","No","190","12100","160-265","3",4,10,10,8,3200,8,400,NA
"11","Philippine Eagle","Pithecophaga jefferyi","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",273773083,2025-06-17,"CR","3.1","A2cd+4cd; C2a(i)","A2cd+4cd; C2a(i)",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"540000-607000","128-924","11-100",4,10,10,8,3200,8,400,NA
"12","Maui Parrotbill","Pseudonestor xanthophrys","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE",224743508,2022-12-08,"CR","3.1","B1ab(i,ii,iii,v); C1","B1ab(i,ii,iii,v); C1",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","40","70","105","1",4,10,8,9,2880,12,360,NA
