"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","False Shark Ray","Rhynchorhina mauritaniensis","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","RHINIDAE",130392523,2018-12-03,"CR","3.1","A2d","A2d",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,"1500",NA,"1",4,10,10,6,2400,1,400,NA
"2","False Smalltail Shark","Carcharhinus obsoletus","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE",115696628,2020-09-12,"CR","3.1","A2d; D","A2d; D",3,"Unknown","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"0-49",NA,4,3.33333333333333,10,10,1333.33333333333,2,133.333333333333,NA
"3","Niger Stingray","Fontitrygon garouaensis","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","DASYATIDAE",104171509,2020-08-04,"CR","3.1","A2cd","A2cd",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown",NA,"1392","260360",NA,"5",4,5,10,4,800,3,200,NA
"4","Red Sea Torpedo","Torpedo suessii","CHORDATA","CHONDRICHTHYES","TORPEDINIFORMES","TORPEDINIDAE",124515045,2023-03-31,"CR","3.1","B1ab(v)","B1ab(v)",1,"Decreasing","Yes",NA,NA,"Unknown","Unknown",NA,NA,NA,"4-100",NA,"1",4,10,2,9,720,5,360,NA
"5","Javan Whipray","Brevitrygon javaensis","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","DASYATIDAE",104180287,2020-05-06,"EN","3.1","A2cd; B2ab(i,ii,iii,v)","A2cd; B2ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes","No","Yes","Yes",NA,NA,"96","12000",NA,"2",2,10,6,5,600,6,120,NA
"6","Ganges Shark","Glyphis gangeticus","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE",124398647,2021-01-22,"CR","3.1","A2cd; C2a(i)","A2cd; C2a(i)",6,"Decreasing","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"240",NA,4,1.66666666666667,10,8,533.333333333333,7,66.6666666666667,NA
"7","Tiger Freshwater Stingray","Potamotrygon tigrina","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","POTAMOTRYGONIDAE",124550267,2024-12-01,"EN","3.1","A2cde","A2cde",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"1456","1482",NA,"2-5",2,10,6,3,360,10,120,NA
"8","Indonesian Houndshark","Hemitriakis indroyonoi","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","TRIAKIDAE",176486027,2020-09-23,"EN","3.1","A2d; B2ab(v)","A2d; B2ab(v)",2,"Decreasing","Yes",NA,"No",NA,"Unknown",NA,NA,"72",NA,NA,"2",2,5,6,5,300,11,60,NA
"9","Aden Gulf Torpedo","Torpedo adenensis","CHORDATA","CHONDRICHTHYES","TORPEDINIFORMES","TORPEDINIDAE",109897319,2017-02-05,"EN","3.1","B1ab(v)","B1ab(v)",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes",NA,"2000",NA,"3",2,10,2,7,280,13,140,NA
"10","Sharpfin Houndshark","Triakis acutipinna","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","TRIAKIDAE",124406514,2020-09-23,"EN","3.1","B1ab(v); C2a(ii)","B1ab(v); C2a(ii)",1,"Decreasing","Yes",NA,"No","No",NA,"No","No",NA,"4900-7163","2500","1",2,10,2,6,240,14,120,NA
"11","Port Davey Skate","Zearaja maugeana","CHORDATA","CHONDRICHTHYES","RAJIFORMES","RAJIDAE",124464430,2025-04-17,"EN","3.1","B1ab(iii,iv,v)+2ab(iii,iv,v); C2a(ii)","B1ab(iii,iv,v)+2ab(iii,iv,v); C2a(ii)",1,"Decreasing","Yes","Yes","Yes","No","No","Unknown",NA,"208","543","1120","1-2",2,10,2,5,200,15,100,NA
"12","Speckled Catshark","Halaelurus boesemani","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","PENTANCHIDAE",109905403,2017-02-09,"VU","3.1","A2d","A2d",1,"Decreasing",NA,NA,"Unknown","Unknown","Unknown",NA,"Unknown",NA,NA,NA,"4",1,10,4,4,160,16,40,NA
"13","Madeira Skate","Raja maderensis","CHORDATA","CHONDRICHTHYES","RAJIFORMES","RAJIDAE",48939762,2014-12-11,"VU","3.1","D2","D2",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,2,7,140,18,70,NA
"14","Garman’s Freshwater Stingray","Potamotrygon garmani","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","POTAMOTRYGONIDAE",188067189,2022-12-02,"VU","3.1","B1ab(i,ii,iii); D2","B1ab(i,ii,iii); D2",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,"Yes","8700","11207",NA,"4",1,10,2,7,140,18,70,NA
"15","Branco River Freshwater Stingray","Potamotrygon adamastor","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","POTAMOTRYGONIDAE",271884545,2024-11-20,"EN","3.1","B1ab(i,iii)","B1ab(i,iii)",2,"Decreasing","Unknown","Yes",NA,"Yes",NA,NA,"Yes","724","724",NA,"1-2",2,5,2,7,140,18,70,NA
"16","Pondicherry Shark","Carcharhinus hemiodon","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE",221513674,2020-09-28,"CR","3.1","C2a(i)","C2a(i)",6,"Unknown","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"249",NA,4,1.66666666666667,2,8,106.666666666667,21,53.3333333333333,NA
"17","Suriname Freshwater Stingray","Potamotrygon boesemani","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","POTAMOTRYGONIDAE",273588295,2025-02-27,"VU","3.1","A2cde; B1ab(iii)","A2cde; B1ab(iii)",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,"No","8796","17692",NA,"2",1,5,4,5,100,22,25,NA
"18","Natal Shyshark","Haploblepharus kistnasamyi","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","PENTANCHIDAE",124524866,2018-04-25,"VU","3.1","B2ab(v)","B2ab(v)",1,"Decreasing","Yes",NA,"Unknown",NA,NA,NA,NA,"1900-2000",NA,NA,"5",1,10,2,4,80,23,40,NA
"19","Smallspine Discus Stingray","Paratrygon parvaspina","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","POTAMOTRYGONIDAE",214418525,2024-09-19,"VU","3.1","A2cde; B1ab(iii)","A2cde; B1ab(iii)",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,"No","12452","13340",NA,"3",1,5,4,4,80,23,20,NA
"20","Bluegray Carpetshark","Brachaelurus colcloughi","CHORDATA","CHONDRICHTHYES","ORECTOLOBIFORMES","BRACHAELURIDAE",68610594,2015-05-20,"VU","3.1","C2a(ii)","C2a(ii)",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"9999",NA,1,10,2,2,40,26,20,NA
"21","Papuan Epaulette Shark","Hemiscyllium hallstromi","CHORDATA","CHONDRICHTHYES","ORECTOLOBIFORMES","HEMISCYLLIIDAE",70709453,2015-02-18,"VU","3.1","B1ab(iii)","B1ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"10000",NA,"3",1,10,1,4,40,26,40,NA
"22","Gale's Epaulette Shark","Hemiscyllium galei","CHORDATA","CHONDRICHTHYES","ORECTOLOBIFORMES","HEMISCYLLIIDAE",198885260,2020-05-04,"VU","3.1","B2ab(ii,iii,v)","B2ab(ii,iii,v)",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown",NA,"1500","24746","54000","6",1,10,2,2,40,26,20,NA
"23","Henry's Epaulette Shark","Hemiscyllium henryi","CHORDATA","CHONDRICHTHYES","ORECTOLOBIFORMES","HEMISCYLLIIDAE",198885960,2020-05-04,"VU","3.1","B2ab(ii,iii,v)","B2ab(ii,iii,v)",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown",NA,"1148","22477","46000","6",1,10,2,2,40,26,20,NA
"24","Michael's Epaulette Shark","Hemiscyllium michaeli","CHORDATA","CHONDRICHTHYES","ORECTOLOBIFORMES","HEMISCYLLIIDAE",198886371,2020-05-04,"VU","3.1","B2ab(ii,iii,v)","B2ab(ii,iii,v)",1,"Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown",NA,"1088","51980","47900","6",1,10,2,2,40,26,20,NA
"25","Northern River Shark","Glyphis garricki","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE",68624151,2021-04-19,"VU","3.1","C1","C1",2,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"2500-10000",NA,1,5,3,2,30,33,15,NA
"26","Speartooth Shark","Glyphis glyphis","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE",68624306,2021-04-20,"VU","3.1","C1","C1",2,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"2500-10000",NA,1,5,3,2,30,33,15,NA
"27","Spotted Shovelnose Ray","Aptychotrema timorensis","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","TRYGONORRHINIDAE",68609203,2015-02-20,"VU","3.1","B1ab(v)","B1ab(v)",1,"Unknown","Yes",NA,NA,"Unknown",NA,NA,NA,NA,"18000",NA,"1-9",1,10,2,1,20,36,20,NA
"28","Flapnose Houndshark","Scylliogaleus quecketti","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","TRIAKIDAE",124406361,2018-04-25,"VU","3.1","B1ab(iii,v)","B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,"Unknown",NA,NA,"No",NA,"7000",NA,"1-5",1,10,2,1,20,36,20,NA
"29","Hooded Carpet Shark","Hemiscyllium strahani","CHORDATA","CHONDRICHTHYES","ORECTOLOBIFORMES","HEMISCYLLIIDAE",198886746,2020-05-04,"VU","3.1","B2ab(ii,iii,v)","B2ab(ii,iii,v)",2,"Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown",NA,"720","49800","130000","8",1,5,2,2,20,36,10,NA
"30","South Brazilian Skate","Dipturus mennii","CHORDATA","CHONDRICHTHYES","RAJIFORMES","RAJIDAE",3120930,2019-07-01,"CR","3.1","A2d","A2d",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,0,0,NA,400,1
"31","Whitefin Swellshark","Cephaloscyllium albipinnum","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIORHINIDAE",68615830,2018-12-03,"CR","3.1","A2bd","A2bd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,0,0,NA,400,1
"32","Longnose Skate","Dentiraja confusa","CHORDATA","CHONDRICHTHYES","RAJIFORMES","RAJIDAE",70688281,2015-02-18,"CR","3.1","A2bd","A2bd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,0,0,NA,400,1
"33","Philippine Guitarfish","Rhinobatos whitei","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","RHINOBATIDAE",104007215,2020-05-12,"CR","3.1","A2d","A2d",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,0,0,NA,400,1
"34","Taiwanese Wedgefish","Rhynchobatus immaculatus","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","RHINIDAE",104020006,2018-12-03,"CR","3.1","A2bd","A2bd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,0,0,NA,400,1
"35","Indonesian Angel Shark","Squatina legnota","CHORDATA","CHONDRICHTHYES","SQUATINIFORMES","SQUATINIDAE",113148785,2019-11-21,"CR","3.1","A2bd","A2bd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,0,0,NA,400,1
"36","Whitefin Topeshark","Hemitriakis leucoperiptera","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","TRIAKIDAE",124404742,2020-07-02,"CR","3.1","A2d","A2d",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,0,0,NA,400,1
"37","Reticulate Round Ray","Urotrygon reticulata","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","UROTRYGONIDAE",124503331,2020-01-24,"CR","3.1","A2d","A2d",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"25280",NA,NA,4,10,10,0,0,NA,400,1
"38","Japanese Wedgefish","Rhynchobatus mononoke","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","RHINIDAE",214417808,2023-07-16,"CR","3.1","A2bd","A2bd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,0,0,NA,400,1
"39","Bangladeshi Guitarfish","Glaucostegus younholeei","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","GLAUCOSTEGIDAE",214418413,2022-04-04,"CR","3.1","A2bd","A2bd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,0,0,NA,400,1
"40","Colares Stingray","Fontitrygon colarensis","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","DASYATIDAE",104170822,2019-07-01,"CR","3.1","A2d","A2d",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,10,0,0,NA,200,11
"41","Starrynose Cowtail Ray","Pastinachus stellurostris","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","DASYATIDAE",104306271,2020-05-19,"CR","3.1","A2cd","A2cd",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,10,0,0,NA,200,11
"42","Stripenose Guitarfish","Acroteriobatus variegatus","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","RHINOBATIDAE",109905030,2017-02-08,"CR","3.1","A2cd+3cd","A2cd+3cd",2,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,4,5,10,0,0,NA,200,11
