"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Wolkberg Cycad","Encephalartos dolomiticus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",50905617,2020-05-06,"CR","3.1","A2acd+4ad; B2ab(i,ii,iv,v); C1+2a(i); D","A2acd+4ad; B2ab(i,ii,iv,v); C1+2a(i); D",1,"Decreasing","Yes",NA,"Yes","Yes","Yes","Yes","Yes","0-16",NA,"0-4","1",4,10,10,10,4000,1,400,NA
"2","Venda Cycad","Encephalartos hirsutus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",51056445,2020-04-24,"CR","3.1","A2ad; B2ab(v); C1+2a(i,ii); D","A2ad; B2ab(v); C1+2a(i,ii); D",1,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes","0",NA,"0-10","0",4,10,10,10,4000,1,400,NA
"3","Lydenburg Cycad","Encephalartos inopinus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",51057232,2020-05-07,"CR","3.1","A2ad+4ad; B1ab(v)+2ab(v); C2a(i,ii); D","A2ad+4ad; B1ab(v)+2ab(v); C2a(i,ii); D",1,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes","4","4","1","1",4,10,10,10,4000,1,400,NA
"4","Little Chamal","Zamia vazquezii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243413573,2020-06-26,"CR","3.1","A2cd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i); D","A2cd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i); D",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes","8","75-100","2-49","2",4,10,10,10,4000,1,400,NA
"5",NA,"Cycas chamaoensis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",243415795,2020-11-20,"CR","3.1","A2ad; B1ab(i,ii,iv,v); C2a(i); D","A2ad; B1ab(i,ii,iv,v); C2a(i); D",1,"Decreasing","Yes","Unknown",NA,"Yes","Yes","Yes","Yes",NA,"10-20","1-50","1",4,10,10,10,4000,1,400,NA
"6","Waxen Cycad","Encephalartos cerinus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243424414,2020-05-22,"CR","3.1","A2acd; B1ab(i,ii,v)+2ab(i,ii,v); C2a(i,ii); D","A2acd; B1ab(i,ii,v)+2ab(i,ii,v); C2a(i,ii); D",1,"Decreasing","Yes",NA,NA,"Yes","Yes",NA,"Yes","0-16","0-16","0-5","1",4,10,10,10,4000,1,400,NA
"7",NA,"Ceratozamia santillanii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",1828396,2020-10-06,"CR","3.1","A3cd+4cd; B1ab(i,ii,iii,iv,v)","A3cd+4cd; B1ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","12","44","200-250","2",4,10,10,9,3600,7,400,NA
"8",NA,"Cycas fugax","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",68901336,2021-03-30,"CR","3.1","A2cd; B1ab(i,ii,iii,v)","A2cd; B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes",NA,"90-100",NA,"2",4,10,10,9,3600,7,400,NA
"9",NA,"Cycas hongheensis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",68902633,2022-07-06,"CR","3.1","A2cd+4cd; B2ab(iii,v)","A2cd+4cd; B2ab(iii,v)",1,"Decreasing","Yes","Yes","No",NA,NA,NA,"Yes","8","461","1100","1",4,10,10,9,3600,7,400,NA
"10",NA,"Cycas pachypoda","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",69153836,2021-08-10,"CR","3.1","A4acd","A4acd",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"50","2500-10000","2",4,10,10,9,3600,7,400,NA
