"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Hainan Black Crested Gibbon","Nomascus hainanus","CHORDATA","MAMMALIA","PRIMATES","HYLOBATIDAE",17969392,2015-11-20,"CR","3.1","A2acd; B1ab(iii); D","A2acd; B1ab(iii); D",1,"Stable","Unknown","Yes","No","No",NA,"No","Yes",NA,"0-100","10","1",4,10,10,10,4000,1,400,NA
"2","Northern Sportive Lemur","Lepilemur septentrionalis","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE",115567059,2018-05-07,"CR","3.1","A2acd+3cd+4acd; C2a(i,ii); D","A2acd+3cd+4acd; C2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"12-192","258","40","1",4,10,10,10,4000,1,400,NA
"3","Gulf of California Harbour Porpoise","Phocoena sinus","CHORDATA","MAMMALIA","ARTIODACTYLA","PHOCOENIDAE",214541137,2022-03-02,"CR","3.1","A2a; C1+2a(ii); D; E","A2a; C1+2a(ii); D; E",1,"Decreasing","Yes","Unknown","No","No","Yes",NA,NA,"2000",NA,"18","1",4,10,10,10,4000,1,400,NA
"4","Tonkin Snub-nosed Monkey","Rhinopithecus avunculus","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE",17944213,2015-11-21,"CR","3.1","A2acd+3cd; C1+2a(i)","A2acd+3cd; C1+2a(i)",1,"Decreasing","Yes","Yes",NA,NA,NA,"Yes","No",NA,"24364","80-100",NA,4,10,10,9,3600,4,400,NA
"5","Siau Island Tarsier","Tarsius tumpara","CHORDATA","MAMMALIA","PRIMATES","TARSIIDAE",17977202,2015-11-23,"CR","3.1","A2acd+4acd; B1ab(iii,v)","A2acd+4acd; B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"156",NA,"1",4,10,10,9,3600,4,400,NA
"6","Hawks' Sportive Lemur","Lepilemur tymerlachsoni","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE",115585199,2018-05-07,"CR","3.1","A2ac+3c+4c; B1ab(i,iii,v)","A2ac+3c+4c; B1ab(i,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"72",NA,"1",4,10,10,9,3600,4,400,NA
"7","Delacour's Langur","Trachypithecus delacouri","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE",17958988,2015-11-21,"CR","3.1","A2cd; C2a(i)","A2cd; C2a(i)",1,"Decreasing","Yes","Yes",NA,"Unknown","Yes","Yes","No","250-300","7486","240-250",NA,4,10,10,8,3200,7,400,NA
"8","White-headed Black Langur","Trachypithecus leucocephalus","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE",17988378,2015-11-21,"CR","3.1","A2cd; C2a(i)","A2cd; C2a(i)",1,"Decreasing","Unknown","Yes",NA,NA,NA,"Unknown","No",NA,NA,"230-250",NA,4,10,10,8,3200,7,400,NA
"9","Scott's Tree-kangaroo","Dendrolagus scottae","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE",21956375,2015-09-30,"CR","3.1","A2d","A2d",1,"Stable",NA,NA,NA,"Unknown",NA,"No",NA,NA,"150","200","2",4,10,10,8,3200,7,400,NA
"10","Perrier’s Sifaka","Propithecus perrieri","CHORDATA","MAMMALIA","PRIMATES","INDRIIDAE",115573556,2018-05-07,"CR","3.1","A2a; C2a(ii)","A2a; C2a(ii)",1,"Decreasing","Yes","Yes",NA,"Yes",NA,"No",NA,NA,"283","125","3",4,10,10,8,3200,7,400,NA
"11",NA,"Trachypithecus popa","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE",196344962,2020-12-07,"CR","3.1","A2ac+4ac","A2ac+4ac",1,"Decreasing",NA,"Yes",NA,"Yes",NA,"Yes",NA,NA,"130687","135-176","4",4,10,10,8,3200,7,400,NA
"12","Vancouver Island Marmot","Marmota vancouverensis","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE",22259184,2017-03-02,"CR","3.1","C1+2a(i)","C1+2a(i)",1,"Decreasing","Yes",NA,"Yes","Yes","Yes",NA,NA,NA,"7228.035","90","1",4,10,8,9,2880,12,360,NA
"13","Macdonnell Range Rock-rat","Zyzomys pedunculatus","CHORDATA","MAMMALIA","RODENTIA","MURIDAE",22456932,2015-07-20,"CR","3.1","A2abce","A2abce",1,"Decreasing","Yes","Yes","No","Yes","Yes","Yes","Yes","20","1000","800","1",4,10,10,7,2800,13,400,NA
"14","Severtzov's Birch Mouse","Sicista severtzovi","CHORDATA","MAMMALIA","RODENTIA","SMINTHIDAE",221734933,2023-01-26,"CR","3.1","A2c","A2c",1,"Decreasing","Unknown","Unknown","Yes","Unknown",NA,"Yes","Yes",NA,"1223",NA,"0",4,10,10,7,2800,13,400,NA
"15","Mindoro Dwarf Buffalo","Bubalus mindorensis","CHORDATA","MAMMALIA","ARTIODACTYLA","BOVIDAE",50737640,2016-04-27,"CR","3.1","C1+2a(ii)","C1+2a(ii)",1,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes","100","100","220-300","3",4,10,8,8,2560,15,320,NA
