"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Berger's Cape Tortoise","Chersobius solus","CHORDATA","REPTILIA","TESTUDINES","TESTUDINIDAE",125807053,1996-08-01,"VU","2.3","C2a","C2a(i)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Inf,2,2,Inf,1,Inf,NA
"2","Short-necked Turtle","Pseudemydura umbrina","CHORDATA","REPTILIA","TESTUDINES","CHELIDAE",97271321,1996-08-01,"CR","2.3","A1c; B1+2c; C1+2b; D","A2c;B1ab(iii);C1+2a(ii);D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,10,10,4000,2,400,NA
"3","Burmese Roofed Turtle","Batagur trivittata","CHORDATA","REPTILIA","TESTUDINES","GEOEMYDIDAE",152044061,2018-03-14,"CR","3.1","A2bcd; B1ab(i,ii,iii)+2ab(i,ii,iii); D","A2bcd; B1ab(i,ii,iii)+2ab(i,ii,iii); D",1,"Decreasing","Unknown","Yes",NA,"Yes","Yes",NA,"Yes","9","80","10","1",4,10,10,10,4000,2,400,NA
"4","Annam Pond Turtle","Mauremys annamensis","CHORDATA","REPTILIA","TESTUDINES","GEOEMYDIDAE",182354172,2018-03-14,"CR","3.1","A2bcd+4bcd; B2ab(i,ii,iii,iv,v); D","A2bcd+4bcd; B2ab(i,ii,iii,iv,v); D",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,"Yes","4-10","12500","0-100, 50","1",4,10,10,10,4000,2,400,NA
"5",NA,"Calamaria ingeri","CHORDATA","REPTILIA","SQUAMATA","CALAMARIIDAE",1442469,2011-08-30,"CR","3.1","A3c; B1ab(iii)","A3c; B1ab(iii)",1,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,"1",4,10,10,9,3600,5,400,NA
"6","China Alligator","Alligator sinensis","CHORDATA","REPTILIA","CROCODYLIA","ALLIGATORIDAE",3146005,2017-07-31,"CR","3.1","A1b; B1ab(ii,v)+2ab(ii,v); C1+2a(i)","A1b; B1ab(ii,v)+2ab(ii,v); C1+2a(i)",1,"Stable","Yes","No","Unknown",NA,"Yes",NA,"Yes","5","43","68-86","1",4,10,10,9,3600,5,400,NA
"7","Radiated Tortoise","Astrochelys radiata","CHORDATA","REPTILIA","TESTUDINES","TESTUDINIDAE",12950491,2008-01-15,"CR","3.1","A4d; E","A4d; E",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"5,000-20,000","500-2,000",NA,NA,4,10,10,9,3600,5,400,NA
"8","Angonoka","Astrochelys yniphora","CHORDATA","REPTILIA","TESTUDINES","TESTUDINIDAE",12950950,2008-01-15,"CR","3.1","A4ad; B2ab(v); C1; E","A4ad; B2ab(v); C1; E",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"12-60","700",NA,"5",4,10,10,9,3600,5,400,NA
"9","Hood Island Giant Tortoise","Chelonoidis hoodensis","CHORDATA","REPTILIA","TESTUDINES","TESTUDINIDAE",82777079,2015-08-20,"CR","3.1","A1bde","A1bde",1,"Increasing",NA,NA,NA,NA,NA,NA,NA,"24","60.5","100-200",NA,4,10,10,9,3600,5,400,NA
"10","Cerro Fatal Giant Tortoise","Chelonoidis donfaustoi","CHORDATA","REPTILIA","TESTUDINES","TESTUDINIDAE",90377135,2016-03-26,"CR","3.1","A2abce; B1ab(ii)","A2abce; B1ab(ii)",1,"Increasing",NA,NA,NA,NA,"Yes",NA,NA,"40","40","250","1",4,10,10,9,3600,5,400,NA
